NAME                                                            ID              SIZE      MODIFIED     
llama3.3:70b-instruct-q4_K_M                                    a6eb4748fd29    42 GB     2 weeks ago     
phi3.5:3.8b-mini-instruct-fp16                                  4611ed13d496    7.6 GB    2 weeks ago     
bge-m3:567m                                                     790764642607    1.2 GB    2 weeks ago     
bge-large:335m                                                  b3d71c928059    670 MB    2 weeks ago     
sailor2:8b-chat-q4_K_M                                          f08f378f040a    5.2 GB    2 weeks ago     
sailor2:20b-chat-q4_K_M                                         b74611e7fe0d    11 GB     2 weeks ago     
tulu3:70b-q4_K_M                                                e04f231ae4c6    42 GB     2 weeks ago     
mistral-nemo:12b-instruct-2407-q4_K_M                           1da0ebbdb7ca    7.5 GB    2 weeks ago     
falcon3:7b-instruct-q4_K_M                                      472ea1c89f64    4.6 GB    2 weeks ago     
falcon3:3b                                                      784a7eab5b89    2.0 GB    2 weeks ago     
falcon3:1b                                                      5449d006a9c7    1.8 GB    2 weeks ago     
falcon3:10b-instruct-q4_K_M                                     1653ff122acd    6.3 GB    2 weeks ago     
qwen2.5:14b-instruct-q4_K_M                                     7cdf5a0187d5    9.0 GB    3 weeks ago     
qwen2.5:1.5b-instruct-q4_K_M                                    65ec06548149    986 MB    3 weeks ago     
qwen2.5:0.5b-instruct-q4_K_M                                    a8b0c5157701    397 MB    3 weeks ago     
athene-v2:72b-q4_K_M                                            d14346ed7d55    47 GB     3 weeks ago     
reflection:70b-q4_K_M                                           be39ad6154f4    42 GB     3 weeks ago     
vanilj/Phi-4:Q4_K_M                                             f00b090d5270    9.1 GB    3 weeks ago     
qwen2.5:3b-instruct-q4_K_M                                      357c53fb659c    1.9 GB    3 weeks ago     
exaone3.5:2.4b-instruct-fp16                                    599ce5e8a3bb    5.3 GB    3 weeks ago     
exaone3.5:2.4b-instruct-q4_K_M                                  13644fc3d28e    1.6 GB    3 weeks ago     
exaone3.5:32b-instruct-q4_K_M                                   f2f69abac3da    19 GB     3 weeks ago     
exaone3.5:7.8b-instruct-q4_K_M                                  c7c4e3d1ca22    4.8 GB    3 weeks ago     
nemotron-mini:4b-instruct-fp16                                  490e3375ee70    8.4 GB    4 weeks ago     
marco-o1:7b-fp16                                                c911a6aaee29    15 GB     4 weeks ago     
llama3.2:3b-instruct-fp16                                       1af77be5e782    6.4 GB    5 weeks ago     
qwen2:7b-instruct-fp16                                          5ad93c6749a1    15 GB     5 weeks ago     
qwen2:1.5b-instruct-fp16                                        44ae02940761    3.1 GB    5 weeks ago     
qwen2:0.5b-instruct-fp16                                        f9b12d5481d2    994 MB    5 weeks ago     
qwen2:1.5b-instruct-q4_K_M                                      0d2a504f5771    986 MB    5 weeks ago     
qwen2:0.5b-instruct-q4_K_M                                      19d15f48d098    397 MB    5 weeks ago     
qwq:32b-preview-q4_K_M                                          46407beda5c0    19 GB     5 weeks ago     
marco-o1:7b-q4_K_M                                              007603b83a96    4.7 GB    6 weeks ago     
tulu3:8b-q4_K_M                                                 3e7bbda0122e    4.9 GB    6 weeks ago     
glm4:9b-chat-q4_K_M                                             f17dc1ac3c7c    6.3 GB    6 weeks ago     
CognitiveComputations/dolphin-mistral-nemo:12b-v2.9.3-Q4_K_M    9df8d34dcd55    7.5 GB    6 weeks ago     
CognitiveComputations/dolphin-gemma2:2b-v2.9.4-Q4_K_M           83a9868987bd    1.7 GB    6 weeks ago     
CognitiveComputations/dolphin-2.9.2-qwen2-7b:Q4_K_M             f855becf0287    4.7 GB    6 weeks ago     
CognitiveComputations/dolphin-llama3.1:8b-v2.9.4-Q4_K_M         2116d4dc59d3    4.9 GB    6 weeks ago     
hermes3:8b-llama3.1-q4_0                                        b5c6c7cb379d    4.7 GB    6 weeks ago     
shieldgemma:9b-q4_K_M                                           c82cacd5af5e    5.8 GB    7 weeks ago     
solar-pro:22b-preview-instruct-q4_K_M                           9a8c71c441ca    13 GB     7 weeks ago     
granite3-dense:8b-instruct-q4_K_M                               b5e91128f3ef    4.9 GB    8 weeks ago     
smollm2:1.7b-instruct-q4_K_M                                    8ea75f835db9    1.1 GB    8 weeks ago     
codegemma:2b-code-v1.1-q4_K_M                                   718e1de01c13    1.6 GB    8 weeks ago     
gemma2:9b-instruct-q4_K_M                                       c20bec88025f    5.8 GB    8 weeks ago     
codegemma:7b-code-q4_K_M                                        1b95ec1e6836    5.3 GB    8 weeks ago     
opencoder:8b-instruct-q4_K_M                                    c320df6c224d    4.7 GB    8 weeks ago     
llava:13b-v1.6-vicuna-q4_K_M                                    0843119c3874    8.5 GB    8 weeks ago     
llava:34b-v1.6-q4_K_M                                           538ff4c5a8b8    21 GB     8 weeks ago     
llava:7b-v1.6-mistral-q4_K_M                                    8d3fbd6ad3f4    5.0 GB    8 weeks ago     
llama3.2-vision:11b-instruct-q4_K_M                             54c995cb5ba4    7.9 GB    2 months ago    
qwen2.5:7b-instruct-q4_K_M                                      845dbda0ea48    4.7 GB    2 months ago    
nemotron-mini:4b-instruct-q4_K_M                                ed76ab18784f    2.7 GB    2 months ago    
llama3.2-vision:11b-instruct-fp16                               57f1b692c7ba    21 GB     2 months ago    
llama-guard3:1b-q4_K_M                                          f00008beff55    955 MB    2 months ago    
shieldgemma:27b-q4_K_M                                          a5d7e17031b4    16 GB     2 months ago    
command-r:35b-08-2024-q4_K_M                                    376304b5a505    19 GB     2 months ago    
yi:9b-v1.5-q4_K_M                                               5edba3559d92    5.3 GB    2 months ago    
aya-expanse:32b-q4_K_M                                          1603440383bd    19 GB     2 months ago    
nemotron-mini:4b-instruct-q3_K_M                                91b07164ba46    2.3 GB    2 months ago    
aya-expanse:8b-q4_K_M                                           65f986688a01    5.1 GB    2 months ago    
internlm2:7b-chat-1m-v2.5-q4_K_M                                9b2616f8cbc2    4.7 GB    2 months ago    
llama-guard3:8b-q4_K_M                                          46f211c3d866    4.9 GB    2 months ago    
llama3.1:8b-instruct-q4_K_M                                     46e0c10c039e    4.9 GB    2 months ago    
llama3.2:1b-instruct-fp16                                       2f3820439b9f    2.5 GB    2 months ago    
gemma2:27b-text-q4_K_M                                          1cab10d40d57    16 GB     2 months ago    
gemma2:9b-text-q4_K_M                                           f4da9dd04c19    5.8 GB    2 months ago    
gemma2:2b-instruct-q4_K_M                                       cb2d06dce813    1.7 GB    2 months ago    
qwen2.5-coder:7b-instruct-q4_K_M                                4a26c19c376e    4.7 GB    2 months ago    
mistral-small:22b-instruct-2409-q4_K_M                          9f552ae9b883    13 GB     2 months ago    
qwen2.5:32b-instruct-q4_K_M                                     9f13ba1299af    19 GB     2 months ago    
gemma2:27b-instruct-q4_K_M                                      cfd95e5696e9    16 GB     2 months ago    
phi3.5:3.8b-mini-instruct-q8_0                                  8b50e8e1e216    4.1 GB    2 months ago    
granite3-moe:3b-instruct-q8_0                                   3a4ef96e5b97    3.6 GB    2 months ago    
qwen2.5:72b-instruct-q4_K_M                                     424bad2cc13f    47 GB     2 months ago    
nemotron:70b-instruct-q4_K_M                                    2262f047a28a    42 GB     2 months ago    
mixtral:8x7b-instruct-v0.1-q8_0                                 473d1c3ce92b    49 GB     3 months ago    
hermes3:70b-llama3.1-q4_0                                       60ef54cd913f    39 GB     3 months ago    
qwen2-math:72b-instruct-q4_0                                    9cf426342464    41 GB     3 months ago    
yi-coder:9b-chat-fp16                                           151eab96d30d    17 GB     3 months ago    
reflection:70b-q4_0                                             5084e77c1e10    39 GB     3 months ago    
deepseek-coder-v2:16b-lite-instruct-fp16                        e2edc649e2ab    31 GB     4 months ago    
llava:7b-v1.6-mistral-fp16                                      9fd1e5417c5f    15 GB     4 months ago    
phi3:14b-medium-4k-instruct-fp16                                b8af0a87fe3b    27 GB     4 months ago    
phi3:14b-medium-128k-instruct-fp16                              ab0d71a0814b    27 GB     4 months ago    
mistral-nemo:12b-instruct-2407-fp16                             7bb1e26a5ed5    24 GB     4 months ago    
gemma2:27b                                                      53261bc9c192    15 GB     4 months ago    
mixtral:latest                                                  d39eb76ed9c5    26 GB     4 months ago    
falcon2:11b-q4_0                                                d8c09dbc67c3    6.4 GB    6 months ago    
gemma:2b-instruct-v1.1-q4_0                                     030ee63283b5    1.6 GB    6 months ago    
aya:8b-23-q4_0                                                  7ef8c4942023    4.8 GB    6 months ago    
gemma:7b-instruct-v1.1-q4_0                                     a72c7f4d0a15    5.0 GB    6 months ago    
qwen2:7b-instruct-q4_0                                          e0d4e1163c58    4.4 GB    6 months ago    
phi3:3.8b-mini-4k-instruct-q4_0                                 0696e7915346    2.2 GB    6 months ago    
dolphin-phi:2.7b-v2.6-q4_0                                      c5761fc77240    1.6 GB    6 months ago    
mistral:7b-instruct-v0.3-q4_0                                   2ae6f6dd7a3d    4.1 GB    6 months ago    
dolphin-mistral:7b-v2.8-q4_0                                    5dc8c5a2be65    4.1 GB    6 months ago    
dolphin-llama3:8b-v2.9-q4_0                                     613f068e29f8    4.7 GB    6 months ago    
phi3:14b-medium-4k-instruct-q4_0                                1e67dff39209    7.9 GB    6 months ago    
aya:8b-23-q4_K_M                                                c757782816f1    5.1 GB    6 months ago    
dolphin-llama3:8b-256k-v2.9-q4_K_M                              ff5463167239    4.9 GB    6 months ago    
gemma:2b-instruct-v1.1-fp16                                     fa8ddc50dcc2    5.0 GB    6 months ago    
llama3-chatqa:8b-v1.5-q4_K_M                                    07e385a3991b    4.9 GB    6 months ago    
llama2:7b-chat-q4_K_M                                           fe3834f64df5    4.1 GB    6 months ago    
llava-llama3:8b-v1.1-q4_0                                       44c161b1f465    5.5 GB    6 months ago    
codeqwen:7b-code-v1.5-q4_0                                      d469cddb7d04    4.2 GB    6 months ago    
falcon2:11b-q4_K_M                                              6aadb586b79f    6.8 GB    6 months ago    
yi:9b-chat-v1.5-q4_K_M                                          70f792429c07    5.3 GB    6 months ago    
dolphin-llama3:8b-v2.9-q4_K_M                                   48e12807e1dd    4.9 GB    6 months ago    
wizardlm2:7b-q4_K_M                                             3de5776b30d9    4.4 GB    6 months ago    
gemma:7b-instruct-v1.1-q4_K_M                                   81c8c66b7df1    5.3 GB    6 months ago    
mistral:7b-instruct-v0.2-q4_K_M                                 eb14864c7427    4.4 GB    6 months ago    
mistral:7b-instruct-v0.3-q4_K_M                                 d6294609a747    4.4 GB    6 months ago    
mistral:7b-instruct-q4_K_M                                      1a85656b534f    4.4 GB    6 months ago    
llama3:8b-instruct-q4_K_M                                       9b8f3f3385bf    4.9 GB    6 months ago    
phi3:3.8b-mini-4k-instruct-q4_K_M                               64c1188f2485    2.4 GB    6 months ago    
mistral7bsenti:latest                                           339dec2de068    4.1 GB    7 months ago    
llama3sentiment:latest                                          3c4171509190    4.7 GB    7 months ago    
llava-llama3sentiment:latest                                    2c24ce43cd42    5.5 GB    7 months ago    
phi3sentiment:latest                                            adfb415389a3    2.4 GB    7 months ago    
llama3:8b-text-q4_K_M                                           92666a9c24c8    4.9 GB    7 months ago    
mistral:7b-text-v0.2-q4_K_M                                     33518cc91a4d    4.4 GB    7 months ago    
phi3:instruct                                                   64c1188f2485    2.4 GB    7 months ago    
codeqwen:7b-chat-v1.5-q4_0                                      a6f7662764bd    4.2 GB    7 months ago    
qwen:7b-chat-v1.5-q4_K_M                                        315448cc7b99    4.8 GB    7 months ago    
qwen:7b-text-v1.5-q4_K_M                                        a2e8ed289a56    4.8 GB    7 months ago    
stablelm2:1.6b-q4_K_M                                           3eb0d616668e    1.0 GB    7 months ago    
zephyr:7b-beta-q4_K_M                                           961df065a980    4.4 GB    7 months ago    
vicuna:7b-v1.5-q4_K_M                                           33b5fd751101    4.1 GB    7 months ago    
llava-phi3:3.8b-mini-q4_0                                       c7edd7b87593    2.9 GB    7 months ago    
llava-phi3:3.8b-mini-fp16                                       39ed50ad5b22    8.3 GB    7 months ago    
llama3-gradient:8b-instruct-1048k-q4_K_M                        3ba4af54f02f    4.9 GB    7 months ago    
gemma:2b-instruct-v1.1-q4_K_M                                   1a26b1fdc8cf    1.6 GB    7 months ago    
llama2:13b-chat-q4_K_M                                          87727269f62c    7.9 GB    7 months ago    
zephyr:7b-alpha-q4_K_M                                          0fcbe7af791e    4.4 GB    7 months ago    
dolphin-mistral:7b-v2.8-q4_K_M                                  9664319c8300    4.4 GB    7 months ago    
wizardlm2:7b-q6_K                                               6195668c4294    5.9 GB    7 months ago    
nomic-embed-text:latest                                         0a109f422b47    274 MB    7 months ago    
yarn-llama2:7b-64k-q4_K_M                                       76f2052b357c    4.1 GB    7 months ago    
yi:6b-200k-q4_K_M                                               433c1398f079    3.7 GB    7 months ago    
yi:6b-chat-q4_K_M                                               1f6e9f4f5ed0    3.7 GB    7 months ago    
mistrallite:7b-v0.1-q4_K_M                                      d73bbd6b49d1    4.4 GB    7 months ago    
gemma:2b                                                        b50d6c999e59    1.7 GB    7 months ago    
qwen2:1.5b                                                      f6daf2b25194    934 MB    7 months ago    
stablelm2:12b                                                   34b434945650    7.0 GB    7 months ago    
stablelm2:1.6b                                                  714a6116cffa    982 MB    7 months ago    
yi:9b                                                           3af70141e8eb    5.0 GB    7 months ago    
aya:35b                                                         bab44e009440    20 GB     7 months ago    
phi3:14b                                                        1e67dff39209    7.9 GB    7 months ago    
