model_name,prompt_type,accuracy,f1_score,prediction_yes_ct,prediction_no_ct,actual_yes_ct,actual_no_ct,confusion_tp,confusion_tn,confusion_fp,confusion_fn,auc_roc,api_call_total_ct,api_call_success_ct,api_total_duration_sec,api_prompt_eval_count,api_eval_count
hermes3:3b-llama3.2-q4,cot,34.02061855670103,0.27272727272727276,84,13,22,75,12,21,1,63,0.5472727272727274,97,97,7.70403835156701,325.63917525773195,318.50515463917526
hermes3:3b-llama3.2-q4,cot-nshot,52.0,0.5932203389830508,53,47,29,71,35,17,12,36,0.6306459446333171,100,100,8.12289732253,2048.0,258.2
hermes3:3b-llama3.2-q4,system1,54.0,0.6229508196721312,49,51,29,71,38,16,13,33,0.5825643516270035,100,100,0.58948967575,248.09,17.0
hermes3:8b-llama3.1-q4,cot-nshot,36.0,0.21951219512195125,89,11,29,71,9,27,2,62,0.5216124332200096,100,100,15.51273469377,2048.0,286.94
hermes3:8b-llama3.1-q4,system1,52.0,0.5714285714285714,59,41,29,71,32,20,9,39,0.574307916464303,100,100,0.97058665001,248.09,17.0
llama3.1:70b-instruct-q4,cot,43.0,0.35955056179775285,82,18,29,71,16,27,2,55,0.5400679941719281,100,100,66.54564015595,327.09,395.99
llama3.1:70b-instruct-q4,cot-nshot,53.0,0.5765765765765766,60,40,29,71,32,21,8,39,0.5026711996114619,100,100,65.89876385331,2048.0,297.07
llama3.1:70b-instruct-q4,system1,49.0,0.5405405405405406,63,37,26,74,30,19,7,44,0.6621621621621622,100,100,4.28596974647,248.07,17.0
llama3.1:8b-instruct-q4,cot,30.0,0.4444444444444444,97,3,29,71,28,2,69,1,0.564108790675085,100,100,16.35232513606,327.09,400.93
llama3.1:8b-instruct-q4,cot-nshot,44.0,0.49090909090909085,81,19,29,71,27,17,54,2,0.575279261777562,100,100,16.79132436693,2048.0,321.61
llama3.1:8b-instruct-q4,system1,49.0,0.42696629213483145,60,40,29,71,19,30,41,10,0.539339485186984,100,100,0.92624803575,249.09,17.0
llama3.2:1b-instruct-q4,cot,29.0,0.0,99,1,30,70,0,29,1,70,0.5488095238095239,100,100,1.6920183321400002,337.59,331.86
llama3.2:1b-instruct-q4,cot-nshot,35.0,0.19753086419753088,90,10,29,71,8,27,2,63,0.5250121418164158,100,100,1.75064175673,2048.0,188.36
llama3.2:1b-instruct-q4,system1,47.0,0.5137614678899082,62,38,29,71,28,19,10,43,0.47523069451189903,100,100,0.11113411667,259.09,17.64
llama3.2:3b-instruct-q4,cot,42.0,0.3695652173913044,79,21,29,71,17,25,4,54,0.5422535211267605,100,100,6.379719252189999,337.09,255.55
llama3.2:3b-instruct-q4,cot-nshot,70.0,0.8235294117647058,1,99,29,71,70,0,29,1,0.5337542496357455,100,100,4.35379419641,2048.0,105.27
llama3.2:3b-instruct-q4,system1,62.0,0.7323943661971831,29,71,29,71,52,10,19,19,0.4924720738222438,100,100,0.55963867391,259.09,17.0
llama3.3:70b-instruct-q4,cot,49.0,0.48484848484848475,72,28,29,71,24,25,4,47,0.5087421078193298,100,100,63.952888348980004,327.09,378.01
llama3.3:70b-instruct-q4,cot-nshot,60.0,0.6875,43,57,29,71,44,16,13,27,0.48518698397280235,100,100,79.51174202118,2048.0,375.95
llama3.3:70b-instruct-q4,system1,44.0,0.43999999999999995,71,29,29,71,22,22,7,49,0.5704225352112675,100,100,4.32091329359,249.09,17.0
marco-o1:7b-q4,cot,41.0,0.3058823529411765,86,14,29,71,13,28,1,58,0.5573093734822729,100,100,14.088456013270001,330.72,357.11
marco-o1:7b-q4,cot-nshot,59.0,0.7248322147651006,22,78,29,71,54,5,24,17,0.4825157843613404,100,100,13.308339771879998,2048.0,258.03
marco-o1:7b-q4,system1,68.0,0.7894736842105262,19,81,29,71,60,8,21,11,0.5835356969402623,100,100,1.00083217727,252.72,18.0
mistral-nemo:12b-instruct-2407-q4,cot,36.0,0.17948717948717946,93,7,29,71,7,29,0,64,0.5339970859640601,100,100,22.197778985169997,330.06,377.08
mistral-nemo:12b-instruct-2407-q4,cot-nshot,43.0,0.38709677419354843,78,22,29,71,18,25,4,53,0.5,100,100,24.126603285919998,2048.0,326.76
mistral-nemo:12b-instruct-2407-q4,system1,43.0,0.43564356435643564,70,30,29,71,22,21,8,49,0.5548810101991257,100,100,1.57758130418,246.06,20.0
mistral-small:22b-instruct-2409-q4,cot,40.0,0.3181818181818182,83,17,29,71,14,26,3,57,0.5917921321029626,100,100,8.41009485476,362.78,405.89
mistral-small:22b-instruct-2409-q4,cot-nshot,50.0,0.5370370370370371,63,37,29,71,29,21,8,42,0.5662943176299174,100,100,10.11332568508,2048.0,411.25
mistral-small:22b-instruct-2409-q4,system1,47.0,0.5137614678899082,62,38,29,71,28,19,10,43,0.521369596891695,100,100,0.74177155277,274.78,22.62
mistral:7b-instruct-q4,cot,64.0,0.7464788732394367,29,71,29,71,53,11,18,18,0.4516755706653715,100,100,2.86649054366,364.78,365.62
mistral:7b-instruct-q4,cot-nshot,68.0,0.8024691358024693,9,91,29,71,65,3,26,6,0.353812530354541,100,100,2.92170299219,2048.0,298.91
mistral:7b-instruct-q4,system1,64.0,0.75,27,73,29,71,54,10,19,17,0.6049052938319572,100,100,0.25604180133000004,276.78,21.17
mixtral:8x7b-instruct-v0.1-q4,cot,51.0,0.5333333333333333,66,34,29,71,28,23,6,43,0.49951432734337053,100,100,15.17665687258,364.78,354.45
mixtral:8x7b-instruct-v0.1-q4,cot-nshot,54.0,0.5964912280701755,57,43,29,71,34,20,9,37,0.5155415250121418,100,100,16.787416340540002,2048.0,301.24
mixtral:8x7b-instruct-v0.1-q4,system1,60.0,0.7183098591549296,29,71,29,71,51,9,20,20,0.5973773676542011,100,100,6.5986187007799995,276.78,142.64
nemotron-mini:4b-instruct-fp16,cot,35.0,0.2528735632183908,84,16,29,71,11,24,5,60,0.503399708596406,100,100,6.40738150896,345.64,164.23
nemotron-mini:4b-instruct-fp16,cot-nshot,58.0,0.7083333333333335,27,73,29,71,51,7,22,20,0.39242350655658087,100,100,7.010760438229999,2048.0,139.71
nemotron-mini:4b-instruct-fp16,system1,67.0,0.7924528301886792,12,88,29,71,63,4,25,8,0.5660514813016028,100,100,0.9879390409800001,263.64,19.62
nemotron-mini:4b-instruct-q4,cot,47.0,0.5546218487394957,52,48,29,71,33,14,15,38,0.5053423992229237,100,100,1.86413329171,345.64,289.95
nemotron-mini:4b-instruct-q4,cot-nshot,65.0,0.7328244274809161,40,60,29,71,48,17,12,23,0.4844584749878582,100,100,1.0823400001199999,2048.0,115.74
nemotron-mini:4b-instruct-q4,system1,68.0,0.7948717948717949,15,85,29,71,62,6,23,9,0.527440505099563,100,100,0.23350539171,263.64,19.96
olmo2:13b-1124-instruct-q4,cot,42.0,0.3829787234042553,77,23,29,71,18,24,5,53,0.6104905293831957,100,100,22.31274784143,327.09,330.08
olmo2:13b-1124-instruct-q4,cot-nshot,56.0,0.6333333333333333,51,49,29,71,38,18,11,33,0.5847498785818359,100,100,27.62885425577,2048.0,316.42
olmo2:13b-1124-instruct-q4,system1,71.0,0.8053691275167785,22,78,29,71,60,11,18,11,0.5626517727051966,100,100,1.36667024501,249.09,13.36
olmo2:7b-1124-instruct-q4,cot-nshot,40.0,0.34782608695652173,79,21,29,71,16,24,5,55,0.49417192812044686,100,100,3.34677863668,2048.0,314.72
olmo2:7b-1124-instruct-q4,system1,59.0,0.6917293233082707,38,62,29,71,46,13,16,25,0.498300145701797,100,100,0.2177615909,249.09,13.0
phi3.5:3.8b-mini-instruct-q4,cot,44.0,0.45098039215686275,69,31,29,71,23,21,8,48,0.5789218067022827,100,100,14.215231374,379.8,539.89
phi3.5:3.8b-mini-instruct-q4,system1,45.0,0.46601941747572817,68,32,29,71,24,21,8,47,0.5269548324429335,100,100,7.04541510257,289.8,264.67
phi4:14b-q4,cot,39.0,0.3146067415730337,82,18,29,71,14,25,4,57,0.5058280718795531,100,100,5.8460810919899995,328.09,418.0
phi4:14b-q4,cot-nshot,60.0,0.6666666666666666,51,49,29,71,40,20,9,31,0.5390966488586691,100,100,6.65138698765,2048.0,396.33
phi4:14b-q4,system1,48.0,0.543859649122807,57,43,29,71,31,17,12,40,0.537639630888781,100,100,4.2804994538,250.09,300.23
qwen2.5:0.5b-instruct-q4,system1,71.0,0.8284023668639053,2,98,29,71,70,1,28,1,0.5301117047110248,100,100,0.30257938213999996,252.72,17.77
qwen2.5:1.5b-instruct-q4,cot,62.0,0.759493670886076,13,87,29,71,60,2,27,11,0.5310830500242836,100,100,6.125604534430001,330.72,341.8
qwen2.5:1.5b-instruct-q4,cot-nshot,31.0,0.08,96,4,29,71,3,28,1,68,0.4669742593491986,100,100,5.8750221522,2048.0,265.3
qwen2.5:1.5b-instruct-q4,system1,57.0,0.6993006993006993,28,72,29,71,50,7,22,21,0.4830014570179698,100,100,0.44650280714,252.72,18.0
qwen2.5:14b-instruct-q4,cot,51.0,0.5585585585585585,60,40,29,71,31,20,9,40,0.5619232637202525,100,100,4.78881694541,330.72,300.33
qwen2.5:14b-instruct-q4,cot-nshot,42.0,0.3829787234042553,77,23,29,71,18,24,5,53,0.6284604176784847,100,100,5.41047654763,2048.0,272.03
qwen2.5:14b-instruct-q4,system1,70.0,0.7916666666666666,27,73,29,71,57,13,16,14,0.629188926663429,100,100,0.50478033121,252.72,18.0
qwen2.5:3b-instruct-q4,cot,43.0,0.495575221238938,58,42,29,71,28,15,14,43,0.4507042253521127,100,100,2.16766731952,330.72,361.49
qwen2.5:3b-instruct-q4,cot-nshot,41.0,0.3218390804597701,84,16,29,71,14,27,2,57,0.48615832928606123,100,100,1.78806685794,2048.0,242.62
qwen2.5:3b-instruct-q4,system1,52.0,0.6417910447761194,37,63,29,71,43,9,20,28,0.4599320058280719,100,100,0.20400138523,252.72,18.0
qwen2.5:7b-instruct-q4,cot,45.0,0.4210526315789474,66,34,29,71,20,25,46,9,0.5696940262263234,100,100,2.5029616488000004,330.72,305.2
qwen2.5:7b-instruct-q4,cot-nshot,56.0,0.5217391304347827,63,37,29,71,24,32,39,5,0.7122389509470617,100,100,2.29049559595,2048.0,215.66
qwen2.5:7b-instruct-q4,system1,72.0,0.36363636363636365,15,85,29,71,8,64,7,21,0.6066051481301602,100,100,0.23625560521,252.72,18.0
qwq:32b-preview-q4,cot,37.0,0.18181818181818182,90,10,33,67,7,30,3,60,0.4434644957033017,100,100,41.296748710660005,331.2,1394.25
qwq:32b-preview-q4,system1,42.0,0.4313725490196078,69,31,29,71,22,20,9,49,0.5388538125303546,100,100,26.575914725169998,252.72,900.97
reflection:70b-q4,system1,48.0,0.5094339622641509,65,35,29,71,27,21,8,44,0.4796017484215639,100,100,4.427015953720001,251.09,17.0
sailor2:1b-chat-q4,cot,39.0,0.35789473684210527,76,24,29,71,17,22,7,54,0.450461389023798,100,100,0.92195761701,330.72,171.61
sailor2:1b-chat-q4,system1,34.0,0.175,91,9,29,71,7,27,2,64,0.516270033997086,100,100,1.30978425199,252.72,239.39
sailor2:20b-chat-q4,cot,41.0,0.41584158415841577,70,30,29,71,21,20,9,50,0.5786789703739679,100,100,6.216383599699999,330.72,304.67
sailor2:20b-chat-q4,cot-nshot,43.0,0.38709677419354843,78,22,29,71,18,25,4,53,0.556338028169014,100,100,6.177561663340001,2048.0,237.47
sailor2:20b-chat-q4,system1,40.0,0.34782608695652173,79,21,29,71,16,24,5,55,0.5747935891209326,100,100,0.62336307878,252.72,18.0
sailor2:8b-chat-q4,cot,43.0,0.4123711340206186,74,26,29,71,20,23,6,51,0.5242836328314716,100,100,10.7799659567,330.72,242.42
sailor2:8b-chat-q4,cot-nshot,45.0,0.4554455445544555,70,30,29,71,23,22,7,48,0.5420106847984459,100,100,11.62890126645,2048.0,186.86
sailor2:8b-chat-q4,system1,54.0,0.6290322580645161,47,53,29,71,39,15,14,32,0.5594949004371055,100,100,2.5476397510599997,252.72,52.47
smallthinker:3b-preview-q4,cot,38.0,0.29545454545454547,83,17,29,71,13,25,4,58,0.5451675570665372,100,100,25.204099082419997,330.72,925.58
smallthinker:3b-preview-q4,cot-nshot,37.0,0.2588235294117647,86,14,29,71,11,26,3,60,0.5716367168528411,100,100,40.81231849136,2048.0,750.37
smallthinker:3b-preview-q4,system1,37.0,0.4112149532710281,67,33,26,74,22,15,11,52,0.46335758835758833,100,100,16.28726337667,252.6,607.2
tulu3:70b-q4,cot,46.0,0.5,63,37,29,71,27,19,10,44,0.5585235551238465,100,100,68.41045804371,328.09,407.84
tulu3:70b-q4,cot-nshot,50.0,0.5432098765432098,47,27,20,54,22,15,5,32,0.5708333333333334,74,74,73.61297118256756,2048.0,343.2972972972973
tulu3:70b-q4,system1,52.0,0.5789473684210527,57,43,29,71,33,19,10,38,0.5541525012141817,100,100,4.99966434218,250.09,21.44
tulu3:8b-q4,cot,31.0,0.4390243902439025,94,6,29,71,27,4,67,2,0.5543953375424964,100,100,12.44958606804,328.09,303.08
tulu3:8b-q4,cot-nshot,48.0,0.4583333333333333,67,33,29,71,22,26,45,7,0.6131617289946576,100,100,14.485355974940001,2048.0,267.51
tulu3:8b-q4,system1,47.0,0.41758241758241765,62,38,29,71,19,28,43,10,0.5531811559009228,100,100,0.77022175442,250.09,13.0
vicuna:33b-q4,cot,58.57142857142857,0.6233766233766234,43,27,20,50,24,17,3,26,0.4605,70,70,9.61361897762857,374.1,325.54285714285714
vicuna:33b-q4,cot-nshot,68.0,0.7922077922077921,17,83,29,71,61,7,22,10,0.47790189412336087,100,100,8.35476744626,2048.0,206.57
wizardlm:13b-llama2-q4,cot,35.59322033898305,0.2962962962962963,49,10,15,44,8,13,2,36,0.5560606060606061,59,59,15.293275586932204,375.1864406779661,379.9830508474576
wizardlm:13b-llama2-q4,cot-nshot,58.18181818181818,0.6933333333333334,18,37,17,38,26,6,11,12,0.5518575851393189,55,55,26.08270333578182,2048.0,319.8363636363636
wizardlm:13b-llama2-q4,system1,70.0,0.8051948051948051,17,83,29,71,62,8,21,9,0.5728508984944147,100,100,1.18117771384,284.8,22.0
