parentrelations,college02,married02,race,depression,y_arrestedafter2002,nshot_summary_text
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",white,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
Unknown,"not enrolled, high school degree","never married, not cohabiting",white,all of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is all of the time"
"biological mother, marital status unknown",enrolled in a 2-year college,"never married, not cohabiting",black,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is some of the time"
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",asian or pacific islander,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and monthly frequency of severe depression is some of the time"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",hispanic,all of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is all of the time"
"biological mother, marital status unknown","not enrolled, high school degree","never married, not cohabiting",black,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, high school degree","never married, cohabiting",black,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is black, and monthly frequency of severe depression is some of the time"
"biological mother, marital status unknown","not enrolled, GED","never married, cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
Unknown,"not enrolled, high school degree","never married, cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, some college","never married, not cohabiting",white,all of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is all of the time"
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",hispanic,some of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
Unknown,"not enrolled, some college","married, spouse present",hispanic,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and current marriage status is married, spouse present, and race is hispanic, and monthly frequency of severe depression is some of the time"
both biological parents,"not enrolled, some college","never married, not cohabiting",hispanic,some of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
Unknown,"not enrolled, high school degree","never married, cohabiting",hispanic,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
both biological parents,"not enrolled, high school degree","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, no high school degree, no GED","never married, not cohabiting",white,some of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
Unknown,"not enrolled, GED","never married, not cohabiting",black,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, some college","never married, not cohabiting",white,all of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is all of the time"
both biological parents,"not enrolled, some college","never married, not cohabiting",white,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate","never married, not cohabiting",hispanic,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
"biological mother, marital status unknown","not enrolled, some college","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, some college","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",black,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
Unknown,"not enrolled, GED","married, spouse present",asian or pacific islander,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is married, spouse present, and race is asian or pacific islander, and monthly frequency of severe depression is none of the time"
Unknown,enrolled in a 2-year college,"never married, not cohabiting",asian or pacific islander,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and monthly frequency of severe depression is none of the time"
Unknown,"not enrolled, no high school degree, no GED","never married, not cohabiting",asian or pacific islander,most of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and monthly frequency of severe depression is most of the time"
both biological parents,"enrolled in grades 1-12, not a high school graduate","never married, cohabiting",hispanic,most of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is most of the time"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","married, spouse present",hispanic,some of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is married, spouse present, and race is hispanic, and monthly frequency of severe depression is some of the time"
both biological parents,enrolled in a 2-year college,"never married, not cohabiting",hispanic,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
both biological parents,"not enrolled, no high school degree, no GED","never married, not cohabiting",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
"other adults, biological parent status unknown, not group quarters","not enrolled, no high school degree, no GED","separated, not cohabiting",hispanic,some of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and current education status is not enrolled, no high school degree, no GED, and current marriage status is separated, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
"biological dad, marital status unknown","not enrolled, GED","never married, not cohabiting",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
"biological dad, marital status unknown","not enrolled, high school degree","never married, not cohabiting",asian or pacific islander,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, GED","never married, not cohabiting",hispanic,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
"biological mother, other parent present",enrolled in a 4-year college,"never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, some college","never married, not cohabiting",white,some of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, high school degree","never married, not cohabiting",hispanic,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
both biological parents,"not enrolled, no high school degree, no GED","married, spouse present",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is married, spouse present, and race is hispanic, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, no high school degree, no GED","separated, not cohabiting",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is separated, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
Unknown,"not enrolled, high school degree","never married, cohabiting",hispanic,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, high school degree","never married, not cohabiting",hispanic,most of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is most of the time"
Unknown,"not enrolled, no high school degree, no GED","never married, not cohabiting",hispanic,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, no high school degree, no GED","never married, not cohabiting",hispanic,most of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is most of the time"
Unknown,"not enrolled, high school degree","never married, not cohabiting",hispanic,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
Unknown,"not enrolled, no high school degree, no GED","married, spouse present",hispanic,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is married, spouse present, and race is hispanic, and monthly frequency of severe depression is some of the time"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, cohabiting",white,some of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
Unknown,"not enrolled, GED","never married, not cohabiting",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, high school degree","never married, not cohabiting",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
both biological parents,"enrolled in grades 1-12, not a high school graduate","never married, not cohabiting",hispanic,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, GED","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",asian or pacific islander,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and monthly frequency of severe depression is none of the time"
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, no high school degree, no GED","never married, cohabiting",hispanic,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
both biological parents,"not enrolled, some college","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",white,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",white,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
"biological mother, other parent present","not enrolled, high school degree","never married, cohabiting",white,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, high school degree, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
"biological mother, other parent present","not enrolled, some college","never married, not cohabiting",white,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
both biological parents,"not enrolled, high school degree","never married, not cohabiting",white,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, high school degree","never married, not cohabiting",white,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,enrolled in a 2-year college,"never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, no high school degree, no GED","never married, cohabiting",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
both biological parents,enrolled in a 2-year college,"never married, not cohabiting",hispanic,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is hispanic, and monthly frequency of severe depression is some of the time"
"biological mother, other parent present","not enrolled, some college","never married, cohabiting",black,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, some college, and current marriage status is never married, cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
Unknown,"not enrolled, GED","never married, cohabiting",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED","never married, not cohabiting",black,most of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is most of the time"
"biological dad, marital status unknown",enrolled in a 4-year college,"never married, not cohabiting",black,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, some college","never married, cohabiting",black,most of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and current marriage status is never married, cohabiting, and race is black, and monthly frequency of severe depression is most of the time"
"biological mother, marital status unknown","not enrolled, high school degree","never married, not cohabiting",black,most of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is most of the time"
"biological mother, marital status unknown","not enrolled, GED","never married, cohabiting",white,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
"biological mother, marital status unknown","not enrolled, some college","never married, not cohabiting",black,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, high school degree","married, spouse present",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is married, spouse present, and race is white, and monthly frequency of severe depression is none of the time"
foster parent(s),"not enrolled, high school degree","never married, not cohabiting",black,most of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is foster parent(s), and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is most of the time"
"biological mother, marital status unknown",enrolled in a 2-year college,"never married, not cohabiting",black,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, high school degree","never married, not cohabiting",black,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is some of the time"
"other adults, biological parent status unknown, not group quarters","not enrolled, GED","never married, cohabiting",black,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and current education status is not enrolled, GED, and current marriage status is never married, cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, high school degree","never married, not cohabiting",white,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
"biological mother, other parent present","not enrolled, no high school degree, no GED","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, some college","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,enrolled in a 2-year college,"never married, not cohabiting",white,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 2-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",white,none of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
both biological parents,"not enrolled, no high school degree, no GED","never married, cohabiting",hispanic,most of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is most of the time"
both biological parents,"not enrolled, no high school degree, no GED","never married, cohabiting",hispanic,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, cohabiting, and race is hispanic, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, GED","never married, not cohabiting",black,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is some of the time"
"biological mother, other parent present","enrolled in grades 1-12, not a high school graduate","never married, not cohabiting",black,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is enrolled in grades 1-12, not a high school graduate, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is none of the time"
both biological parents,enrolled in a 4-year college,"never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
Unknown,"not enrolled, high school degree","never married, not cohabiting",white,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is some of the time"
Unknown,"not enrolled, some college","never married, not cohabiting",asian or pacific islander,some of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and monthly frequency of severe depression is some of the time"
both biological parents,"not enrolled, some college","never married, not cohabiting",black,some of the time,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is black, and monthly frequency of severe depression is some of the time"
Unknown,"not enrolled, no high school degree, no GED","never married, not cohabiting","american indian, eskimo or aleut",none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and current marriage status is never married, not cohabiting, and race is american indian, eskimo or aleut, and monthly frequency of severe depression is none of the time"
"biological mother, marital status unknown","not enrolled, some college","never married, not cohabiting",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and current marriage status is never married, not cohabiting, and race is white, and monthly frequency of severe depression is none of the time"
"biological mother, other parent present","not enrolled, GED","married, spouse present",white,none of the time,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is not enrolled, GED, and current marriage status is married, spouse present, and race is white, and monthly frequency of severe depression is none of the time"
