college02,race,parentrelations,urbanrural,marijuana_anydrug,married02,homelessness,num_weight,sex,height_total_inches,depression,godhasnothingtodo,askgod,faminjail,victim,cocaine,hhsize97,age,experience02,foodstamp,numberofarrestsby2002,convictedby2002,y_arrestedafter2002,nshot_summary_text
enrolled in a 4-year college,white,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,140,male,70,some of the time,False,True,False,False,False,4,22,1,False,1,True,False,"current education status is enrolled in a 4-year college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 140, and sex is male, and height in inches is 70, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 22, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is True"
"not enrolled, high school degree",white,Unknown,Unknown,marijuana_anydrug,"never married, not cohabiting",False,145,male,67,all of the time,False,True,False,False,False,5,21,3,False,2,True,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 145, and sex is male, and height in inches is 67, and monthly frequency of severe depression is all of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 5, and age is 21, and number of jobs held in past year is 3, and used food stamps in past year is False, and number of previous arrests is 2, and number of previous convictions is True"
enrolled in a 2-year college,black,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",False,174,male,73,some of the time,False,True,False,False,False,5,20,3,False,1,False,False,"current education status is enrolled in a 2-year college, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 174, and sex is male, and height in inches is 73, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 5, and age is 20, and number of jobs held in past year is 3, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
enrolled in a 4-year college,asian or pacific islander,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,145,male,70,some of the time,True,False,False,False,False,4,20,0,False,1,True,False,"current education status is enrolled in a 4-year college, and race is asian or pacific islander, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 145, and sex is male, and height in inches is 70, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is True, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 20, and number of jobs held in past year is 0, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is True"
"not enrolled, no high school degree, no GED",hispanic,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",False,165,male,72,all of the time,True,True,False,False,True,5,20,0,False,5,True,True,"current education status is not enrolled, no high school degree, no GED, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 165, and sex is male, and height in inches is 72, and monthly frequency of severe depression is all of the time, and believes God has nothing to do with me is True, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 5, and age is 20, and number of jobs held in past year is 0, and used food stamps in past year is False, and number of previous arrests is 5, and number of previous convictions is True"
"not enrolled, high school degree",black,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",False,187,male,73,none of the time,False,True,False,False,True,5,19,2,False,2,False,True,"current education status is not enrolled, high school degree, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 187, and sex is male, and height in inches is 73, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 5, and age is 19, and number of jobs held in past year is 2, and used food stamps in past year is False, and number of previous arrests is 2, and number of previous convictions is False"
"not enrolled, high school degree",black,"biological mother, marital status unknown",Unknown,,"never married, cohabiting",False,160,male,65,some of the time,False,True,False,False,False,4,21,3,False,1,True,False,"current education status is not enrolled, high school degree, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan, and current marriage status is never married, cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 160, and sex is male, and height in inches is 65, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 21, and number of jobs held in past year is 3, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is True"
"not enrolled, GED",white,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, cohabiting",False,170,male,65,none of the time,False,False,False,False,False,4,19,1,False,1,True,False,"current education status is not enrolled, GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 170, and sex is male, and height in inches is 65, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 19, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is True"
"not enrolled, high school degree",white,Unknown,urban,marijuana_anydrug,"never married, cohabiting",False,185,male,68,none of the time,False,False,False,False,True,3,20,5,False,4,True,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 185, and sex is male, and height in inches is 68, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 3, and age is 20, and number of jobs held in past year is 5, and used food stamps in past year is False, and number of previous arrests is 4, and number of previous convictions is True"
"not enrolled, some college",white,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,135,male,66,all of the time,True,False,False,True,True,4,20,5,False,4,True,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 135, and sex is male, and height in inches is 66, and monthly frequency of severe depression is all of the time, and believes God has nothing to do with me is True, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is True, and used cocaine past 3 years is True, and household size  as teen is 4, and age is 20, and number of jobs held in past year is 5, and used food stamps in past year is False, and number of previous arrests is 4, and number of previous convictions is True"
enrolled in a 4-year college,hispanic,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,160,male,66,some of the time,True,False,False,False,False,4,18,1,False,1,False,True,"current education status is enrolled in a 4-year college, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 160, and sex is male, and height in inches is 66, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is True, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 18, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
"not enrolled, some college",hispanic,Unknown,Unknown,marijuana_anydrug,"married, spouse present",False,190,male,67,some of the time,False,True,False,False,False,4,22,1,False,3,True,False,"current education status is not enrolled, some college, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is married, spouse present, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 190, and sex is male, and height in inches is 67, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 22, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 3, and number of previous convictions is True"
"not enrolled, some college",hispanic,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,140,male,68,some of the time,False,True,False,True,True,3,22,1,False,6,True,True,"current education status is not enrolled, some college, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 140, and sex is male, and height in inches is 68, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is True, and used cocaine past 3 years is True, and household size  as teen is 3, and age is 22, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 6, and number of previous convictions is True"
"not enrolled, high school degree",hispanic,Unknown,Unknown,,"never married, cohabiting",False,117,female,65,some of the time,True,True,False,False,False,7,19,1,False,1,False,False,"current education status is not enrolled, high school degree, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan, and current marriage status is never married, cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 117, and sex is female, and height in inches is 65, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is True, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 7, and age is 19, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
"not enrolled, high school degree",white,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,155,male,71,none of the time,True,False,False,False,True,5,22,3,False,2,True,False,"current education status is not enrolled, high school degree, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 155, and sex is male, and height in inches is 71, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is True, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 5, and age is 22, and number of jobs held in past year is 3, and used food stamps in past year is False, and number of previous arrests is 2, and number of previous convictions is True"
"not enrolled, no high school degree, no GED",white,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,180,male,83,some of the time,False,False,False,False,True,5,18,3,False,1,True,True,"current education status is not enrolled, no high school degree, no GED, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 180, and sex is male, and height in inches is 83, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is False, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 5, and age is 18, and number of jobs held in past year is 3, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is True"
"not enrolled, GED",black,Unknown,Unknown,marijuana_anydrug,"never married, not cohabiting",False,135,male,71,none of the time,True,False,False,False,False,6,19,1,False,1,False,False,"current education status is not enrolled, GED, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 135, and sex is male, and height in inches is 71, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is True, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 6, and age is 19, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
"not enrolled, some college",white,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,139,female,64,all of the time,False,False,False,False,True,4,21,2,False,1,False,True,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 139, and sex is female, and height in inches is 64, and monthly frequency of severe depression is all of the time, and believes God has nothing to do with me is False, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 4, and age is 21, and number of jobs held in past year is 2, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
"not enrolled, some college",white,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,180,female,66,none of the time,False,True,True,False,True,4,18,4,False,2,False,True,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 180, and sex is female, and height in inches is 66, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is True, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 4, and age is 18, and number of jobs held in past year is 4, and used food stamps in past year is False, and number of previous arrests is 2, and number of previous convictions is False"
"enrolled in grades 1-12, not a high school graduate",hispanic,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",False,212,female,61,some of the time,False,True,False,False,False,6,20,3,False,1,False,False,"current education status is enrolled in grades 1-12, not a high school graduate, and race is hispanic, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 212, and sex is female, and height in inches is 61, and monthly frequency of severe depression is some of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 6, and age is 20, and number of jobs held in past year is 3, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
"not enrolled, some college",white,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",False,130,male,66,none of the time,True,True,False,False,True,5,22,1,False,2,False,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 130, and sex is male, and height in inches is 66, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is True, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is True, and household size  as teen is 5, and age is 22, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 2, and number of previous convictions is False"
"not enrolled, some college",white,"biological mother, marital status unknown",urban,marijuana_anydrug,"never married, not cohabiting",False,187,female,68,none of the time,False,False,False,False,False,4,22,1,False,1,False,False,"current education status is not enrolled, some college, and race is white, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 187, and sex is female, and height in inches is 68, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is False, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 22, and number of jobs held in past year is 1, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
enrolled in a 4-year college,black,both biological parents,urban,marijuana_anydrug,"never married, not cohabiting",False,162,male,69,none of the time,True,True,False,True,False,4,20,3,False,1,False,False,"current education status is enrolled in a 4-year college, and race is black, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and grew up at age 12 in area is urban, and used any drug except cocaine past 3 years is marijuana_anydrug, and current marriage status is never married, not cohabiting, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 162, and sex is male, and height in inches is 69, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is True, and often asks God for help is True, and other adult family member in jail past 5 years is False, and victim of violent crime past 5 years is True, and used cocaine past 3 years is False, and household size  as teen is 4, and age is 20, and number of jobs held in past year is 3, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
"not enrolled, GED",asian or pacific islander,Unknown,Unknown,,"married, spouse present",False,240,male,71,none of the time,False,True,True,False,False,5,20,2,False,1,False,False,"current education status is not enrolled, GED, and race is asian or pacific islander, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and grew up at age 12 in area is Unknown, and used any drug except cocaine past 3 years is nan, and current marriage status is married, spouse present, and homeless for 2 or more nights in past 5 years is False, and weight in pounds is 240, and sex is male, and height in inches is 71, and monthly frequency of severe depression is none of the time, and believes God has nothing to do with me is False, and often asks God for help is True, and other adult family member in jail past 5 years is True, and victim of violent crime past 5 years is False, and used cocaine past 3 years is False, and household size  as teen is 5, and age is 20, and number of jobs held in past year is 2, and used food stamps in past year is False, and number of previous arrests is 1, and number of previous convictions is False"
