college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
enrolled in a 2-year college,174,3,"biological mother, marital status unknown",73,False,"current education status is enrolled in a 2-year college, and weight in pounds is 174, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
enrolled in a 4-year college,145,0,both biological parents,70,False,"current education status is enrolled in a 4-year college, and weight in pounds is 145, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, no high school degree, no GED",165,0,"biological mother, marital status unknown",72,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, high school degree",187,2,"biological mother, marital status unknown",73,True,"current education status is not enrolled, high school degree, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, high school degree",160,3,"biological mother, marital status unknown",65,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65"
"not enrolled, GED",170,1,"biological mother, marital status unknown",65,False,"current education status is not enrolled, GED, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65"
"not enrolled, high school degree",185,5,Unknown,68,False,"current education status is not enrolled, high school degree, and weight in pounds is 185, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 68"
"not enrolled, some college",135,5,both biological parents,66,False,"current education status is not enrolled, some college, and weight in pounds is 135, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
enrolled in a 4-year college,160,1,both biological parents,66,True,"current education status is enrolled in a 4-year college, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, some college",190,1,Unknown,67,False,"current education status is not enrolled, some college, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67"
"not enrolled, some college",140,1,both biological parents,68,True,"current education status is not enrolled, some college, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
"not enrolled, high school degree",117,1,Unknown,65,False,"current education status is not enrolled, high school degree, and weight in pounds is 117, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"not enrolled, high school degree",155,3,both biological parents,71,False,"current education status is not enrolled, high school degree, and weight in pounds is 155, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
"not enrolled, no high school degree, no GED",180,3,both biological parents,83,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 83"
"not enrolled, GED",135,1,Unknown,71,False,"current education status is not enrolled, GED, and weight in pounds is 135, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 71"
"not enrolled, some college",139,2,both biological parents,64,True,"current education status is not enrolled, some college, and weight in pounds is 139, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 64"
"not enrolled, some college",180,4,both biological parents,66,True,"current education status is not enrolled, some college, and weight in pounds is 180, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"enrolled in grades 1-12, not a high school graduate",212,3,"biological mother, marital status unknown",61,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 212, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 61"
"not enrolled, some college",130,1,"biological mother, marital status unknown",66,False,"current education status is not enrolled, some college, and weight in pounds is 130, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, some college",187,1,"biological mother, marital status unknown",68,False,"current education status is not enrolled, some college, and weight in pounds is 187, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
enrolled in a 4-year college,162,3,both biological parents,69,False,"current education status is enrolled in a 4-year college, and weight in pounds is 162, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, GED",240,2,Unknown,71,False,"current education status is not enrolled, GED, and weight in pounds is 240, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 71"
enrolled in a 2-year college,135,1,Unknown,67,False,"current education status is enrolled in a 2-year college, and weight in pounds is 135, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67"
"not enrolled, no high school degree, no GED",140,1,Unknown,65,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"enrolled in grades 1-12, not a high school graduate",170,1,both biological parents,70,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, no high school degree, no GED",140,4,"biological mother, marital status unknown",62,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62"
enrolled in a 2-year college,180,2,both biological parents,66,False,"current education status is enrolled in a 2-year college, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, no high school degree, no GED",140,0,both biological parents,67,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 67"
"not enrolled, no high school degree, no GED",187,0,"other adults, biological parent status unknown, not group quarters",71,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 71"
"not enrolled, GED",140,1,"biological dad, marital status unknown",72,False,"current education status is not enrolled, GED, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 72"
"not enrolled, high school degree",145,0,"biological dad, marital status unknown",69,False,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 69"
"not enrolled, GED",180,0,"biological mother, marital status unknown",66,True,"current education status is not enrolled, GED, and weight in pounds is 180, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
enrolled in a 4-year college,180,2,"biological mother, other parent present",70,False,"current education status is enrolled in a 4-year college, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 70"
"not enrolled, some college",212,1,both biological parents,71,True,"current education status is not enrolled, some college, and weight in pounds is 212, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
"not enrolled, no high school degree, no GED",287,1,"biological mother, marital status unknown",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 287, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, high school degree",179,0,"biological mother, marital status unknown",71,False,"current education status is not enrolled, high school degree, and weight in pounds is 179, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, no high school degree, no GED",212,2,both biological parents,64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 212, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 64"
"not enrolled, no high school degree, no GED",237,0,both biological parents,66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 237, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, high school degree",195,3,Unknown,64,True,"current education status is not enrolled, high school degree, and weight in pounds is 195, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 64"
"not enrolled, high school degree",145,0,both biological parents,60,False,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 60"
"not enrolled, no high school degree, no GED",146,2,Unknown,66,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 146, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",140,0,both biological parents,65,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65"
"not enrolled, high school degree",178,1,Unknown,68,True,"current education status is not enrolled, high school degree, and weight in pounds is 178, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 68"
"not enrolled, no high school degree, no GED",60,0,Unknown,65,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 60, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"not enrolled, no high school degree, no GED",187,2,"biological mother, marital status unknown",63,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63"
"not enrolled, GED",138,1,Unknown,66,False,"current education status is not enrolled, GED, and weight in pounds is 138, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 66"
"not enrolled, high school degree",195,2,both biological parents,69,False,"current education status is not enrolled, high school degree, and weight in pounds is 195, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"enrolled in grades 1-12, not a high school graduate",212,1,both biological parents,69,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 212, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, GED",350,2,"biological mother, marital status unknown",69,False,"current education status is not enrolled, GED, and weight in pounds is 350, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69"
enrolled in a 4-year college,160,0,both biological parents,73,False,"current education status is enrolled in a 4-year college, and weight in pounds is 160, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
enrolled in a 4-year college,268,0,both biological parents,77,False,"current education status is enrolled in a 4-year college, and weight in pounds is 268, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 77"
"not enrolled, no high school degree, no GED",112,0,both biological parents,62,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 112, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62"
"not enrolled, some college",115,1,both biological parents,66,False,"current education status is not enrolled, some college, and weight in pounds is 115, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, no high school degree, no GED",210,0,"biological mother, marital status unknown",74,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 210, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",160,1,"biological mother, marital status unknown",68,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, high school degree",180,1,"biological mother, other parent present",76,True,"current education status is not enrolled, high school degree, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 76"
"not enrolled, some college",130,3,"biological mother, other parent present",65,False,"current education status is not enrolled, some college, and weight in pounds is 130, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 65"
"not enrolled, high school degree",140,0,both biological parents,67,True,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 67"
"not enrolled, high school degree",140,1,both biological parents,68,True,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
enrolled in a 2-year college,195,2,both biological parents,75,False,"current education status is enrolled in a 2-year college, and weight in pounds is 195, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 75"
"not enrolled, no high school degree, no GED",157,1,both biological parents,66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 157, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
enrolled in a 2-year college,180,2,both biological parents,73,False,"current education status is enrolled in a 2-year college, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 73"
"not enrolled, some college",186,4,"biological mother, other parent present",67,False,"current education status is not enrolled, some college, and weight in pounds is 186, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 67"
"not enrolled, GED",160,4,Unknown,74,False,"current education status is not enrolled, GED, and weight in pounds is 160, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",135,0,"biological mother, marital status unknown",60,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 135, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 60"
enrolled in a 4-year college,220,1,"biological dad, marital status unknown",79,True,"current education status is enrolled in a 4-year college, and weight in pounds is 220, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 79"
"not enrolled, some college",107,1,"biological mother, marital status unknown",62,True,"current education status is not enrolled, some college, and weight in pounds is 107, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62"
"not enrolled, high school degree",145,1,"biological mother, marital status unknown",68,False,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, GED",134,1,"biological mother, marital status unknown",62,False,"current education status is not enrolled, GED, and weight in pounds is 134, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 62"
"not enrolled, some college",162,0,"biological mother, marital status unknown",61,True,"current education status is not enrolled, some college, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 61"
"not enrolled, high school degree",115,0,"biological mother, marital status unknown",63,False,"current education status is not enrolled, high school degree, and weight in pounds is 115, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63"
"not enrolled, high school degree",140,0,foster parent(s),62,False,"current education status is not enrolled, high school degree, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is foster parent(s), and height in inches is 62"
enrolled in a 2-year college,169,1,"biological mother, marital status unknown",67,False,"current education status is enrolled in a 2-year college, and weight in pounds is 169, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, high school degree",155,2,"biological mother, marital status unknown",71,False,"current education status is not enrolled, high school degree, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, GED",165,3,"other adults, biological parent status unknown, not group quarters",72,True,"current education status is not enrolled, GED, and weight in pounds is 165, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 72"
"not enrolled, high school degree",237,1,"biological mother, marital status unknown",72,False,"current education status is not enrolled, high school degree, and weight in pounds is 237, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, no high school degree, no GED",155,1,"biological mother, other parent present",72,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 155, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 72"
"not enrolled, some college",182,1,both biological parents,71,False,"current education status is not enrolled, some college, and weight in pounds is 182, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
enrolled in a 2-year college,12,0,both biological parents,74,False,"current education status is enrolled in a 2-year college, and weight in pounds is 12, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 74"
enrolled in a 4-year college,155,2,both biological parents,71,True,"current education status is enrolled in a 4-year college, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
"not enrolled, no high school degree, no GED",168,3,both biological parents,67,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 168, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 67"
"not enrolled, no high school degree, no GED",180,1,both biological parents,68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 68"
"not enrolled, GED",178,0,"biological mother, marital status unknown",70,False,"current education status is not enrolled, GED, and weight in pounds is 178, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"enrolled in grades 1-12, not a high school graduate",162,0,"biological mother, other parent present",69,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 69"
enrolled in a 4-year college,187,2,both biological parents,69,False,"current education status is enrolled in a 4-year college, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, high school degree",130,2,Unknown,66,False,"current education status is not enrolled, high school degree, and weight in pounds is 130, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 66"
"not enrolled, some college",170,1,Unknown,70,False,"current education status is not enrolled, some college, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 70"
"not enrolled, some college",187,0,both biological parents,69,True,"current education status is not enrolled, some college, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, no high school degree, no GED",180,0,Unknown,69,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
"not enrolled, some college",190,2,"biological mother, marital status unknown",73,False,"current education status is not enrolled, some college, and weight in pounds is 190, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, GED",160,1,"biological mother, other parent present",64,False,"current education status is not enrolled, GED, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 64"
"enrolled in grades 1-12, not a high school graduate",110,1,"biological mother, marital status unknown",66,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 110, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",165,1,"biological mother, marital status unknown",61,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 61"
"not enrolled, no high school degree, no GED",162,4,Unknown,71,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 71"
enrolled in a 2-year college,185,4,anything else,72,False,"current education status is enrolled in a 2-year college, and weight in pounds is 185, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and height in inches is 72"
"not enrolled, high school degree",211,3,"biological mother, marital status unknown",83,True,"current education status is not enrolled, high school degree, and weight in pounds is 211, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 83"
enrolled in a 4-year college,187,0,both biological parents,66,False,"current education status is enrolled in a 4-year college, and weight in pounds is 187, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, no high school degree, no GED",162,2,Unknown,68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 68"
"not enrolled, high school degree",160,1,"biological mother, marital status unknown",68,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, no high school degree, no GED",140,0,both biological parents,64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 64"
"not enrolled, no high school degree, no GED",178,1,anything else,64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 178, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is anything else, and height in inches is 64"
"not enrolled, GED",122,0,"biological mother, marital status unknown",64,False,"current education status is not enrolled, GED, and weight in pounds is 122, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
enrolled in a 2-year college,187,3,both biological parents,70,False,"current education status is enrolled in a 2-year college, and weight in pounds is 187, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"enrolled in grades 1-12, not a high school graduate",130,0,both biological parents,67,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 130, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 67"
enrolled in a 2-year college,170,1,"biological dad, marital status unknown",72,False,"current education status is enrolled in a 2-year college, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 72"
enrolled in a 4-year college,220,0,both biological parents,70,False,"current education status is enrolled in a 4-year college, and weight in pounds is 220, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
enrolled in a 4-year college,135,1,both biological parents,70,False,"current education status is enrolled in a 4-year college, and weight in pounds is 135, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
enrolled in a 4-year college,190,1,both biological parents,71,True,"current education status is enrolled in a 4-year college, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
