parentrelations,college02,urbanrural,married02,race,homelessness,numberofarrestsby2002,experience02,depression,num_weight,y_arrestedafter2002,nshot_summary_text
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,1,1,some of the time,140,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is some of the time, and weight in pounds is 140"
Unknown,"not enrolled, high school degree",Unknown,"never married, not cohabiting",white,False,2,3,all of the time,145,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 3, and monthly frequency of severe depression is all of the time, and weight in pounds is 145"
"biological mother, marital status unknown",enrolled in a 2-year college,urban,"never married, not cohabiting",black,False,1,3,some of the time,174,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is some of the time, and weight in pounds is 174"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",asian or pacific islander,False,1,0,some of the time,145,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is some of the time, and weight in pounds is 145"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",hispanic,False,5,0,all of the time,165,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 5, and number of jobs held in past year is 0, and monthly frequency of severe depression is all of the time, and weight in pounds is 165"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",black,False,2,2,none of the time,187,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 187"
"biological mother, marital status unknown","not enrolled, high school degree",Unknown,"never married, cohabiting",black,False,1,3,some of the time,160,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is some of the time, and weight in pounds is 160"
"biological mother, marital status unknown","not enrolled, GED",urban,"never married, cohabiting",white,False,1,1,none of the time,170,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 170"
Unknown,"not enrolled, high school degree",urban,"never married, cohabiting",white,False,4,5,none of the time,185,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 4, and number of jobs held in past year is 5, and monthly frequency of severe depression is none of the time, and weight in pounds is 185"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",white,False,4,5,all of the time,135,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 4, and number of jobs held in past year is 5, and monthly frequency of severe depression is all of the time, and weight in pounds is 135"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",hispanic,False,1,1,some of the time,160,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is some of the time, and weight in pounds is 160"
Unknown,"not enrolled, some college",Unknown,"married, spouse present",hispanic,False,3,1,some of the time,190,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is Unknown, and current marriage status is married, spouse present, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 3, and number of jobs held in past year is 1, and monthly frequency of severe depression is some of the time, and weight in pounds is 190"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",hispanic,False,6,1,some of the time,140,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 6, and number of jobs held in past year is 1, and monthly frequency of severe depression is some of the time, and weight in pounds is 140"
Unknown,"not enrolled, high school degree",Unknown,"never married, cohabiting",hispanic,False,1,1,some of the time,117,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is some of the time, and weight in pounds is 117"
both biological parents,"not enrolled, high school degree",urban,"never married, not cohabiting",white,False,2,3,none of the time,155,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 3, and monthly frequency of severe depression is none of the time, and weight in pounds is 155"
both biological parents,"not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",white,False,1,3,some of the time,180,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is some of the time, and weight in pounds is 180"
Unknown,"not enrolled, GED",Unknown,"never married, not cohabiting",black,False,1,1,none of the time,135,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 135"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",white,False,1,2,all of the time,139,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 2, and monthly frequency of severe depression is all of the time, and weight in pounds is 139"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",white,False,2,4,none of the time,180,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 4, and monthly frequency of severe depression is none of the time, and weight in pounds is 180"
"biological mother, marital status unknown","enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",hispanic,False,1,3,some of the time,212,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is some of the time, and weight in pounds is 212"
"biological mother, marital status unknown","not enrolled, some college",urban,"never married, not cohabiting",white,False,2,1,none of the time,130,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 130"
"biological mother, marital status unknown","not enrolled, some college",urban,"never married, not cohabiting",white,False,1,1,none of the time,187,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 187"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",black,False,1,3,none of the time,162,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is black, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 3, and monthly frequency of severe depression is none of the time, and weight in pounds is 162"
Unknown,"not enrolled, GED",Unknown,"married, spouse present",asian or pacific islander,False,1,2,none of the time,240,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is Unknown, and current marriage status is married, spouse present, and race is asian or pacific islander, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 240"
Unknown,enrolled in a 2-year college,Unknown,"never married, not cohabiting",asian or pacific islander,False,2,1,none of the time,135,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 135"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",asian or pacific islander,False,2,1,most of the time,140,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 1, and monthly frequency of severe depression is most of the time, and weight in pounds is 140"
both biological parents,"enrolled in grades 1-12, not a high school graduate",urban,"never married, cohabiting",hispanic,False,3,1,most of the time,170,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 3, and number of jobs held in past year is 1, and monthly frequency of severe depression is most of the time, and weight in pounds is 170"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"married, spouse present",hispanic,False,1,4,some of the time,140,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is married, spouse present, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 4, and monthly frequency of severe depression is some of the time, and weight in pounds is 140"
both biological parents,enrolled in a 2-year college,urban,"never married, not cohabiting",hispanic,False,2,2,some of the time,180,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 2-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 2, and monthly frequency of severe depression is some of the time, and weight in pounds is 180"
both biological parents,"not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",hispanic,False,8,0,none of the time,140,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 8, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 140"
"other adults, biological parent status unknown, not group quarters","not enrolled, no high school degree, no GED",urban,"separated, not cohabiting",hispanic,False,3,0,some of the time,187,True,"relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is separated, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 3, and number of jobs held in past year is 0, and monthly frequency of severe depression is some of the time, and weight in pounds is 187"
"biological dad, marital status unknown","not enrolled, GED",urban,"never married, not cohabiting",hispanic,False,1,1,none of the time,140,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 140"
"biological dad, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",asian or pacific islander,False,5,0,none of the time,145,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 5, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 145"
"biological mother, marital status unknown","not enrolled, GED",Unknown,"never married, not cohabiting",hispanic,False,1,0,none of the time,180,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 180"
"biological mother, other parent present",enrolled in a 4-year college,urban,"never married, not cohabiting",white,False,1,2,none of the time,180,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 180"
both biological parents,"not enrolled, some college",urban,"never married, not cohabiting",white,False,1,1,some of the time,212,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, some college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is some of the time, and weight in pounds is 212"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",white,False,1,1,none of the time,287,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 287"
"biological mother, marital status unknown","not enrolled, high school degree",urban,"never married, not cohabiting",hispanic,False,2,0,some of the time,179,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 0, and monthly frequency of severe depression is some of the time, and weight in pounds is 179"
both biological parents,"not enrolled, no high school degree, no GED",Unknown,"married, spouse present",hispanic,False,2,2,none of the time,212,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is married, spouse present, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 212"
both biological parents,"not enrolled, no high school degree, no GED",Unknown,"separated, not cohabiting",hispanic,False,3,0,none of the time,237,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is separated, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 3, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 237"
Unknown,"not enrolled, high school degree",Unknown,"never married, cohabiting",hispanic,False,6,3,none of the time,195,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 6, and number of jobs held in past year is 3, and monthly frequency of severe depression is none of the time, and weight in pounds is 195"
both biological parents,"not enrolled, high school degree",urban,"never married, not cohabiting",hispanic,False,3,0,most of the time,145,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 3, and number of jobs held in past year is 0, and monthly frequency of severe depression is most of the time, and weight in pounds is 145"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"never married, not cohabiting",hispanic,False,4,2,none of the time,146,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 4, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 146"
both biological parents,"not enrolled, no high school degree, no GED",urban,"never married, not cohabiting",hispanic,False,1,0,most of the time,140,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is most of the time, and weight in pounds is 140"
Unknown,"not enrolled, high school degree",Unknown,"never married, not cohabiting",hispanic,False,1,1,none of the time,178,True,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, high school degree, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 178"
Unknown,"not enrolled, no high school degree, no GED",Unknown,"married, spouse present",hispanic,False,2,0,some of the time,60,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is Unknown, and current marriage status is married, spouse present, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 2, and number of jobs held in past year is 0, and monthly frequency of severe depression is some of the time, and weight in pounds is 60"
"biological mother, marital status unknown","not enrolled, no high school degree, no GED",urban,"never married, cohabiting",white,False,3,2,some of the time,187,True,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, no high school degree, no GED, and grew up at age 12 in area is urban, and current marriage status is never married, cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 3, and number of jobs held in past year is 2, and monthly frequency of severe depression is some of the time, and weight in pounds is 187"
Unknown,"not enrolled, GED",Unknown,"never married, not cohabiting",hispanic,False,1,1,none of the time,138,False,"relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is Unknown, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 138"
both biological parents,"not enrolled, high school degree",urban,"never married, not cohabiting",hispanic,False,1,2,none of the time,195,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is not enrolled, high school degree, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 195"
both biological parents,"enrolled in grades 1-12, not a high school graduate",urban,"never married, not cohabiting",hispanic,False,1,1,none of the time,212,True,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in grades 1-12, not a high school graduate, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is hispanic, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 1, and monthly frequency of severe depression is none of the time, and weight in pounds is 212"
"biological mother, marital status unknown","not enrolled, GED",urban,"never married, not cohabiting",white,False,1,2,none of the time,350,False,"relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and current education status is not enrolled, GED, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is white, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 2, and monthly frequency of severe depression is none of the time, and weight in pounds is 350"
both biological parents,enrolled in a 4-year college,urban,"never married, not cohabiting",asian or pacific islander,False,1,0,none of the time,160,False,"relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and current education status is enrolled in a 4-year college, and grew up at age 12 in area is urban, and current marriage status is never married, not cohabiting, and race is asian or pacific islander, and homeless for 2 or more nights in past 5 years is False, and number of previous arrests is 1, and number of jobs held in past year is 0, and monthly frequency of severe depression is none of the time, and weight in pounds is 160"
