pubid,sex,birthyear,birthmonth,race_ethnicity,race_specific,height_ft,height_in,weight,married02,educ02,college02,experience02,hhsize97,parentrelations,urbanrural,homelessness,faminjail,foodstamp,victim,askgod,godhasnothingtodo,expectdeath,depression,marijuana,cocaine,anydrug,arrestedby2002,numberofarrestsby2002,arrestedafter2002,convictedby2002,convictedafter2002,recidivism,firstcrime,race,num_weight,short,long
118,Male,1980,6: June,Non-Black / Non-Hispanic,White,5,10,140,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 4-year college,1,4,Both biological parents,Urban,NO,NO,0,NO,TRUE,FALSE,0: 0%,Some of the time,1,0,1,1,1,0,1,0,0,0,white,140.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
126,Male,1981,5: May,Non-Black / Non-Hispanic,White,5,7,145,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",3,5,-4,-4,NO,NO,0,NO,TRUE,FALSE,-4,All of the time,1,0,1,1,2,0,1,0,0,0,white,145.0,The person is a 21-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is a 21-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 7 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally."
144,Male,1982,8: August,Black,Black or African American,6,1,174,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 2-year college,3,5,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,-4,Some of the time,1,0,1,1,1,0,0,0,0,0,black,174.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 6 feet 1 inch and weighs 174 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
156,Male,1982,11: November,Non-Black / Non-Hispanic,Asian or Pacific Islander,5,10,145,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 4-year college,0,4,Both biological parents,Urban,NO,NO,0,NO,FALSE,TRUE,-4,Some of the time,1,0,1,1,1,0,1,0,0,0,asian or pacific islander,145.0,The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time and has been convicted.,"The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally."
161,Male,1982,1: January,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,6,0,165,"Never married, not cohabiting",None,"Not enrolled, no high school degree, no GED",0,5,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,TRUE,-4,All of the time,1,1,1,1,5,1,1,1,1,0,hispanic,165.0,The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 5 times and has been convicted.,"The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 5 times and has been convicted. He is 6 feet 0 inches and weighs 165 lbs. He has never been married and is currently living alone. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally."
163,Male,1983,2: February,Black,White,6,1,175 TO 199,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",2,5,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,-4,None of the time,1,1,1,1,2,1,0,1,1,0,black,187.0,The person is a 19-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 6 feet 1 inch and weighs between 175 and 199 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
185,Male,1981,6: June,Black,Black or African American,5,5,160,"Never married, cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",3,4,"Biological mother, marital status unknown",-3,NO,NO,0,NO,TRUE,FALSE,-4,Some of the time,0,0,0,1,1,0,1,0,0,0,black,160.0,The person is a 21-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted.,"The person is a 21-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted. He is 5 feet 5 inches and weighs 160 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has not used any drugs in the past four years and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4. He considers that God has something to do with what happens to him personally."
190,Male,1983,10: October,Non-Black / Non-Hispanic,White,5,5,170,"Never married, cohabiting",GED,"Not enrolled, GED",1,4,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,FALSE,FALSE,-4,None of the time,1,0,1,1,1,0,1,0,0,0,white,170.0,The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 5 inches and weighs 170 lbs. He has never been married and is currently not living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally."
191,Male,1982,2: February,Non-Black / Non-Hispanic,White,5,8,185,"Never married, cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",5,3,-1,Urban,NO,NO,0,NO,FALSE,FALSE,-4,None of the time,1,1,1,1,4,0,1,0,0,0,white,185.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted. He is 5 feet 8 inches and weighs 185 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 5 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally."
199,Male,1982,6: June,Non-Black / Non-Hispanic,White,5,6,135,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",5,4,Both biological parents,Urban,NO,NO,0,YES,FALSE,TRUE,-4,All of the time,1,1,1,1,4,0,1,0,0,0,white,135.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted. He is 5 feet 6 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 5 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally."
230,Male,1984,5: May,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,6,160,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 4-year college,1,4,Both biological parents,Urban,NO,NO,0,NO,FALSE,TRUE,-4,Some of the time,1,0,1,1,1,1,0,0,1,0,hispanic,160.0,The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 6 inches and weighs 160 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally."
231,Male,1980,11: November,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,7,190,"Married, spouse present",GED,"Not enrolled, some college",1,4,-4,-4,NO,NO,0,NO,TRUE,FALSE,50,Some of the time,1,0,1,1,3,0,1,0,0,0,hispanic,190.0,The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 3 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 3 times and has been convicted. He is 5 feet 7 inches and weighs 190 lbs. He is married and is currently living with his spouse. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally."
233,Male,1980,12: December,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,8,140,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",1,3,Both biological parents,Urban,NO,NO,0,YES,TRUE,FALSE,50,Some of the time,1,1,1,1,6,1,1,1,1,0,hispanic,140.0,The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted. He is 5 feet 8 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally."
234,Female,1983,8: August,Hispanic,R REFUSES TO CLASSIFY RACE EXCEPT HISPANIC/LATINO,5,5,117,"Never married, cohabiting",High school diploma (Regular 12 year program),"Not enrolled, high school degree",1,7,-4,-4,NO,NO,0,NO,TRUE,TRUE,-4,Some of the time,0,0,0,1,1,0,0,0,0,0,hispanic,117.0,The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted.,"The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted. She is 5 feet 5 inches and weighs 117 lbs. She has never been married and is currently not living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has not used any drugs in the past four years and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived in a household of size 7. She considers that God has nothing to do with what happens to her personally."
256,Male,1980,8: August,Non-Black / Non-Hispanic,White,5,11,155,"Never married, not cohabiting",GED,"Not enrolled, high school degree",3,5,Both biological parents,Urban,NO,NO,0,NO,FALSE,TRUE,0: 0%,None of the time,1,1,1,1,2,0,1,0,0,0,white,155.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 11 inches and weighs 155 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally."
257,Male,1984,5: May,Non-Black / Non-Hispanic,White,6,11,180,"Never married, not cohabiting",None,"Not enrolled, no high school degree, no GED",3,5,Both biological parents,Urban,NO,NO,0,NO,FALSE,FALSE,-4,Some of the time,1,1,1,1,1,1,1,0,1,0,white,180.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 6 feet 11 inches and weighs 180 lbs. He has never been married and is currently living alone. He does not have a high school diploma or GED certificate and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally."
263,Male,1983,7: July,Black,Black or African American,5,11,135,"Never married, not cohabiting",GED,"Not enrolled, GED",1,6,-4,-4,NO,NO,0,NO,FALSE,TRUE,-4,None of the time,1,0,1,1,1,0,0,0,0,0,black,135.0,The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 6. He considers that God has nothing to do with what happens to him personally."
269,Female,1981,6: June,Non-Black / Non-Hispanic,White,5,4,139,"Never married, not cohabiting",GED,"Not enrolled, some college",2,4,Both biological parents,Urban,NO,NO,0,NO,FALSE,FALSE,-4,All of the time,1,1,1,1,1,1,0,0,1,0,white,139.0,The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 4 inches and weighs 139 lbs. She has never been married and is currently living alone. She has a GED certificate and is not enrolled in college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and all of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally."
270,Female,1984,1: January,Non-Black / Non-Hispanic,White,5,6,180,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",4,4,Both biological parents,Urban,NO,YES,0,NO,TRUE,FALSE,-4,None of the time,1,1,1,1,2,1,0,0,1,0,white,180.0,The person is an 18-year-old female who identifies herself as White. She has been arrested 2 times but has not been convicted.,"The person is an 18-year-old female who identifies herself as White. She has been arrested 2 times but has not been convicted. She is 5 feet 6 inches and weighs 180 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 4 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally."
272,Female,1982,9: September,Hispanic,White,5,1,200 TO 224,"Never married, not cohabiting",None,"Enrolled in grades 1-12, not a high school graduate",3,6,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,FALSE,-4,Some of the time,1,0,1,1,1,0,0,0,0,0,hispanic,212.0,The person is a 20-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted.,"The person is a 20-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted. She is 5 feet 1 inch and weighs between 200 and 224 lbs. She has never been married and is currently living alone. She is enrolled in school at the present moment. She has held 3 jobs during the year. She has used drugs in the past four years (marijuana) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with her biological mother in a household of size 6, in an urban area. She considers that God has something to do with what happens to her personally."
282,Male,1980,6: June,Non-Black / Non-Hispanic,White,5,6,130,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",1,5,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,TRUE,TRUE,0: 0%,None of the time,1,1,1,1,2,0,0,0,0,0,white,130.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted. He is 5 feet 6 inches and weighs 130 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally."
303,Female,1980,9: September,Non-Black / Non-Hispanic,White,5,8,175 TO 199,"Never married, not cohabiting",High school diploma (Regular 12 year program),"Not enrolled, some college",1,4,"Biological mother, marital status unknown",Urban,NO,NO,0,NO,FALSE,FALSE,1 TO 10: 1%-10%,None of the time,1,0,1,1,1,0,0,0,0,0,white,187.0,The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 8 inches and weighs between 175 and 199 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally."
336,Male,1982,2: February,Black,Black or African American,5,9,150 TO 174,"Never married, not cohabiting",Associate/Junior college (AA),Enrolled in a 4-year college,3,4,Both biological parents,Urban,NO,NO,0,YES,TRUE,TRUE,-4,None of the time,1,0,1,1,1,0,0,0,0,0,black,162.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 9 inches and weighs between 150 and 174 lbs. He has never been married and is currently living alone. He has completed study at an associate/junior college and is enrolled in a 4-year college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally."
342,Male,1982,3: March,Non-Black / Non-Hispanic,Asian or Pacific Islander,5,11,240,"Married, spouse present",GED,"Not enrolled, GED",2,5,-4,-4,NO,YES,0,NO,TRUE,FALSE,-4,None of the time,0,0,0,1,1,0,0,0,0,0,asian or pacific islander,240.0,The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs 240 lbs. He is married and is currently living with his spouse. He has a GED certificate and is not enrolled in college. He has held 2 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally."
344,Male,1984,3: March,Non-Black / Non-Hispanic,Asian or Pacific Islander,5,7,135,"Never married, not cohabiting",High school diploma (Regular 12 year program),Enrolled in a 2-year college,1,5,-4,-4,NO,NO,0,YES,FALSE,FALSE,-4,None of the time,0,0,0,1,2,0,1,0,0,0,asian or pacific islander,135.0,The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times and has been convicted.,"The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times and has been convicted. He is 5 feet 7 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally."
