pubid,sex,birthyear,birthmonth,race_ethnicity,race_specific,married02,educ02,college02,experience02,hhsize97,homelessness,faminjail,foodstamp,depression,marijuana,cocaine,anydrug,arrestedby2002,numberofarrestsby2002,arrestedafter2002,convictedby2002,convictedafter2002,recidivism,firstcrime,race,num_weight,short,long,height_cm
256,1,1980,7,3,5,5,2,6.0,3,5,0,0,0,2,1,1,1,1,2,0,1,0,0,0,5,155.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 11 inches and weighs 155 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally.",180
263,1,1983,6,0,2,5,2,5.0,1,6,0,0,0,2,1,0,1,1,1,0,0,0,0,0,2,135.0,The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 6. He considers that God has nothing to do with what happens to him personally.",180
269,0,1981,5,3,5,5,2,7.0,2,4,0,0,0,0,1,1,1,1,1,1,0,0,1,0,5,139.0,The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 4 inches and weighs 139 lbs. She has never been married and is currently living alone. She has a GED certificate and is not enrolled in college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and all of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally.",163
270,0,1984,0,3,5,5,3,7.0,4,4,0,1,0,2,1,1,1,1,2,1,0,0,1,0,5,180.0,The person is an 18-year-old female who identifies herself as White. She has been arrested 2 times but has not been convicted.,"The person is an 18-year-old female who identifies herself as White. She has been arrested 2 times but has not been convicted. She is 5 feet 6 inches and weighs 180 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 4 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally.",168
282,1,1980,5,3,5,5,3,7.0,1,5,0,0,0,2,1,1,1,1,2,0,0,0,0,0,5,130.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted. He is 5 feet 6 inches and weighs 130 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally.",168
303,0,1980,8,3,5,5,3,7.0,1,4,0,0,0,2,1,0,1,1,1,0,0,0,0,0,5,187.0,The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 8 inches and weighs between 175 and 199 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally.",173
336,1,1982,1,0,2,5,0,1.0,3,4,0,0,0,2,1,0,1,1,1,0,0,0,0,0,2,162.0,The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 9 inches and weighs between 150 and 174 lbs. He has never been married and is currently living alone. He has completed study at an associate/junior college and is enrolled in a 4-year college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",175
342,1,1982,2,3,1,3,2,5.0,2,5,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,240.0,The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs 240 lbs. He is married and is currently living with his spouse. He has a GED certificate and is not enrolled in college. He has held 2 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally.",180
344,1,1984,2,3,1,5,3,0.0,1,5,0,0,0,2,0,0,0,1,2,0,1,0,0,0,1,135.0,The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times and has been convicted.,"The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times and has been convicted. He is 5 feet 7 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally.",170
368,0,1981,3,1,3,5,3,0.0,2,5,0,0,0,3,1,1,1,1,2,0,0,0,0,0,3,180.0,The person is a 21-year-old female who identifies herself as Hispanic. She has been arrested 2 times but has not been convicted.,"The person is a 21-year-old female who identifies herself as Hispanic. She has been arrested 2 times but has not been convicted. She is 5 feet 6 inches and weighs 180 lbs. She has never been married and is currently living alone. She has a high school diploma and is enrolled in a 2-year college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 5, in an urban area. She considers that God has nothing to do with what happens to her personally.",168
397,1,1982,3,1,5,5,2,5.0,1,4,0,0,0,2,1,1,1,1,1,0,0,0,0,0,3,140.0,The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 6 feet 0 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological dad in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",183
401,1,1984,5,3,1,5,3,6.0,0,2,0,0,0,2,1,0,1,1,5,0,0,0,0,0,1,145.0,The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 5 times but has not been convicted.,"The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 5 times but has not been convicted. He is 5 feet 9 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological dad in a household of size 2, in an urban area. He considers that God has nothing to do with what happens to him personally.",175
420,1,1980,2,3,5,5,3,1.0,2,5,0,0,0,2,1,0,1,1,1,0,1,0,0,0,5,180.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 180 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally.",178
421,1,1982,7,3,5,5,3,7.0,1,4,0,0,0,3,1,1,1,1,1,1,0,1,1,0,5,212.0,The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs between 200 and 224 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",180
432,1,1981,1,1,3,5,3,6.0,0,5,0,0,0,3,0,0,0,1,2,0,1,0,0,0,3,179.0,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 2 times and has been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 2 times and has been convicted. He is 5 feet 11 inches and weighs 179 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has not used any drugs in the past four years and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",180
446,1,1983,1,1,5,4,3,6.0,3,2,0,0,0,2,1,1,1,1,6,1,1,1,1,0,3,195.0,The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted.,"The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted. He is 5 feet 4 inches and weighs 195 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 2. He considers that God has something to do with what happens to him personally.",163
448,0,1983,8,1,5,5,3,6.0,0,5,0,0,0,1,0,0,0,1,3,0,0,0,0,0,3,145.0,The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 3 times but has not been convicted.,"The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 3 times but has not been convicted. She is 5 feet 0 inches and weighs 145 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held no jobs during the year. She has not used any drugs in the past four years and most of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 5, in an urban area. She considers that God has something to do with what happens to her personally.",152
520,1,1981,9,1,3,5,3,6.0,1,4,0,0,0,2,1,0,1,1,1,1,0,1,1,0,3,178.0,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 8 inches and weighs 178 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally.",173
524,1,1981,7,1,5,5,2,5.0,1,4,0,0,0,2,1,1,1,1,1,0,0,0,0,0,3,138.0,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 6 inches and weighs 138 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally.",168
525,1,1982,3,1,3,5,3,6.0,2,5,0,1,0,2,0,1,1,1,1,0,1,0,0,0,3,195.0,The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted.,"The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted. He is 5 feet 9 inches and weighs 195 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",175
546,1,1980,5,3,1,5,3,1.0,0,4,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,160.0,The person is a 22-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted.,"The person is a 22-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted. He is 6 feet 1 inch and weighs 160 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",185
547,1,1984,0,3,5,5,3,1.0,0,5,0,0,0,2,1,0,1,1,1,0,0,0,0,0,5,268.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 6 feet 5 inches and weighs 268 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",196
579,0,1980,5,3,5,5,3,7.0,1,4,0,0,0,2,1,0,1,1,1,0,1,0,0,0,5,115.0,The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted. She is 5 feet 6 inches and weighs 115 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally.",168
606,1,1980,4,3,5,4,3,6.0,1,3,1,0,0,2,1,0,1,1,3,1,1,1,1,0,5,180.0,The person is a 22-year-old male who identifies himself as White. He has been arrested 3 times and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 3 times and has been convicted. He is 6 feet 4 inches and weighs 180 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 3, in a rural area. He considers that God has something to do with what happens to him personally.",193
610,0,1981,9,3,5,5,3,6.0,0,5,0,0,0,2,1,1,1,1,1,1,1,1,1,0,5,140.0,The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted.,"The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time and has been convicted. She is 5 feet 7 inches and weighs 140 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held no jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 5. She considers that God has something to do with what happens to her personally.",170
611,1,1984,5,3,5,5,3,6.0,1,5,0,0,0,2,1,1,1,1,2,1,1,0,1,0,5,140.0,The person is an 18-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is an 18-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 8 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",173
