Sex,Birth year,Birth month,Ethnicity,Race,Weight (lbs),Marital Status,Education,College,Total jobs in past year,Household size,Homeless last 5 yrs,Family in Jail last 5 yrs,On foodstamps,Violent crime victim in past 5 yrs,Pray to God,Believe in God,Depressed,Marijuana use in last 4 yrs,Cocaine use in last 4 yrs,Any drug use in last 4 yrs,Arrest count by 2002,Recidivism arrested,Convicted by 2002,Recidivism convicted,Recidivism prediction by police,Short description,Long description,Height (cm)
Male,1982,November,Non-Black Non-Hispanic,Asian or Pacific Islander,145.0,Never married not cohabiting,HS Diploma,Enrolled in 4yr college,0,4,No,No,No,No,No,Yes,Sometimes,Yes,No,Yes,1,No,Yes,No,No,The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time and has been convicted.,"The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",178
Male,1983,February,Black,White,187.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",2,5,No,No,No,No,Yes,No,Never,Yes,Yes,Yes,2,Yes,No,Yes,Yes,The person is a 19-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 2 times but has not been convicted. He is 6 feet 1 inch and weighs between 175 and 199 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",185
Male,1981,June,Black,Black,160.0,Never married cohabiting,HS Diploma,"Not enrolled, HS graduate",3,4,No,No,No,No,Yes,No,Sometimes,No,No,No,1,No,Yes,No,No,The person is a 21-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted.,"The person is a 21-year-old male who identifies himself as Black. He has been arrested 1 time and has been convicted. He is 5 feet 5 inches and weighs 160 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has not used any drugs in the past four years and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 4. He considers that God has something to do with what happens to him personally.",165
Male,1983,October,Non-Black Non-Hispanic,White,170.0,Never married cohabiting,GED,"Not enrolled, GED",1,4,No,No,No,No,No,No,Never,Yes,No,Yes,1,No,Yes,No,No,The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 19-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 5 inches and weighs 170 lbs. He has never been married and is currently not living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",165
Male,1982,February,Non-Black Non-Hispanic,White,185.0,Never married cohabiting,HS Diploma,"Not enrolled, HS graduate",5,3,No,No,No,No,No,No,Never,Yes,Yes,Yes,4,No,Yes,No,No,The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted. He is 5 feet 8 inches and weighs 185 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 5 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally.",173
Male,1982,June,Non-Black Non-Hispanic,White,135.0,Never married not cohabiting,HS Diploma,"Not enrolled, some college",5,4,No,No,No,Yes,No,Yes,Always,Yes,Yes,Yes,4,No,Yes,No,No,The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 4 times and has been convicted. He is 5 feet 6 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 5 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and all of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",168
Male,1984,May,Hispanic,Hispanic or Latino,160.0,Never married not cohabiting,HS Diploma,Enrolled in 4yr college,1,4,No,No,No,No,No,Yes,Sometimes,Yes,No,Yes,1,Yes,No,No,Yes,The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is an 18-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 6 inches and weighs 160 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",168
Male,1980,November,Hispanic,Hispanic or Latino,190.0,Married with spouse,GED,"Not enrolled, some college",1,4,No,No,No,No,Yes,No,Sometimes,Yes,No,Yes,3,No,Yes,No,No,The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 3 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 3 times and has been convicted. He is 5 feet 7 inches and weighs 190 lbs. He is married and is currently living with his spouse. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally.",170
Male,1980,December,Hispanic,Hispanic or Latino,140.0,Never married not cohabiting,HS Diploma,"Not enrolled, some college",1,3,No,No,No,Yes,Yes,No,Sometimes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted.,"The person is a 22-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted. He is 5 feet 8 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 3, in an urban area. He considers that God has something to do with what happens to him personally.",173
Female,1983,August,Hispanic,Hispanic or Latino,117.0,Never married cohabiting,HS Diploma,"Not enrolled, HS graduate",1,7,No,No,No,No,Yes,Yes,Sometimes,No,No,No,1,No,No,No,No,The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted.,"The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 1 time but has not been convicted. She is 5 feet 5 inches and weighs 117 lbs. She has never been married and is currently not living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has not used any drugs in the past four years and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived in a household of size 7. She considers that God has nothing to do with what happens to her personally.",165
Male,1980,August,Non-Black Non-Hispanic,White,155.0,Never married not cohabiting,GED,"Not enrolled, HS graduate",3,5,No,No,No,No,No,Yes,Never,Yes,Yes,Yes,2,No,Yes,No,No,The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times and has been convicted. He is 5 feet 11 inches and weighs 155 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally.",180
Male,1983,July,Black,Black,135.0,Never married not cohabiting,GED,"Not enrolled, GED",1,6,No,No,No,No,No,Yes,Never,Yes,No,Yes,1,No,No,No,No,The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 19-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 6. He considers that God has nothing to do with what happens to him personally.",180
Female,1981,June,Non-Black Non-Hispanic,White,139.0,Never married not cohabiting,GED,"Not enrolled, some college",2,4,No,No,No,No,No,No,Always,Yes,Yes,Yes,1,Yes,No,No,Yes,The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 21-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 4 inches and weighs 139 lbs. She has never been married and is currently living alone. She has a GED certificate and is not enrolled in college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and all of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally.",163
Female,1984,January,Non-Black Non-Hispanic,White,180.0,Never married not cohabiting,HS Diploma,"Not enrolled, some college",4,4,No,Yes,No,No,Yes,No,Never,Yes,Yes,Yes,2,Yes,No,No,Yes,The person is an 18-year-old female who identifies herself as White. She has been arrested 2 times but has not been convicted.,"The person is an 18-year-old female who identifies herself as White. She has been arrested 2 times but has not been convicted. She is 5 feet 6 inches and weighs 180 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 4 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, she lived with both of her biological parents in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally.",168
Male,1980,June,Non-Black Non-Hispanic,White,130.0,Never married not cohabiting,HS Diploma,"Not enrolled, some college",1,5,No,No,No,No,Yes,Yes,Never,Yes,Yes,Yes,2,No,No,No,No,The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 2 times but has not been convicted. He is 5 feet 6 inches and weighs 130 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally.",168
Female,1980,September,Non-Black Non-Hispanic,White,187.0,Never married not cohabiting,HS Diploma,"Not enrolled, some college",1,4,No,No,No,No,No,No,Never,Yes,No,Yes,1,No,No,No,No,The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted.,"The person is a 22-year-old female who identifies herself as White. She has been arrested 1 time but has not been convicted. She is 5 feet 8 inches and weighs between 175 and 199 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held 1 job during the year. She has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, she lived with her biological mother in a household of size 4, in an urban area. She considers that God has something to do with what happens to her personally.",173
Male,1982,February,Black,Black,162.0,Never married not cohabiting,Associate/Junior College,Enrolled in 4yr college,3,4,No,No,No,Yes,Yes,Yes,Never,Yes,No,Yes,1,No,No,No,No,The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Black. He has been arrested 1 time but has not been convicted. He is 5 feet 9 inches and weighs between 150 and 174 lbs. He has never been married and is currently living alone. He has completed study at an associate/junior college and is enrolled in a 4-year college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",175
Male,1982,March,Non-Black Non-Hispanic,Asian or Pacific Islander,240.0,Married with spouse,GED,"Not enrolled, GED",2,5,No,Yes,No,No,Yes,No,Never,No,No,No,1,No,No,No,No,The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs 240 lbs. He is married and is currently living with his spouse. He has a GED certificate and is not enrolled in college. He has held 2 jobs during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally.",180
Male,1984,March,Non-Black Non-Hispanic,Asian or Pacific Islander,135.0,Never married not cohabiting,HS Diploma,Enrolled in 2yr college,1,5,No,No,No,Yes,No,No,Never,No,No,No,2,No,Yes,No,No,The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times and has been convicted.,"The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 2 times and has been convicted. He is 5 feet 7 inches and weighs 135 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 2-year college. He has held 1 job during the year. He has not used any drugs in the past four years and has not felt depressed over the past month. At a young age, he lived in a household of size 5. He considers that God has something to do with what happens to him personally.",170
Female,1981,April,Hispanic,Hispanic or Latino,180.0,Never married not cohabiting,HS Diploma,Enrolled in 2yr college,2,5,No,No,No,No,Yes,Yes,Sometimes,Yes,Yes,Yes,2,No,No,No,No,The person is a 21-year-old female who identifies herself as Hispanic. She has been arrested 2 times but has not been convicted.,"The person is a 21-year-old female who identifies herself as Hispanic. She has been arrested 2 times but has not been convicted. She is 5 feet 6 inches and weighs 180 lbs. She has never been married and is currently living alone. She has a high school diploma and is enrolled in a 2-year college. She has held 2 jobs during the year. She has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 5, in an urban area. She considers that God has nothing to do with what happens to her personally.",168
Male,1982,April,Hispanic,White,140.0,Never married not cohabiting,GED,"Not enrolled, GED",1,4,No,No,No,No,No,Yes,Never,Yes,Yes,Yes,1,No,No,No,No,The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 6 feet 0 inches and weighs 140 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived with his biological dad in a household of size 4, in an urban area. He considers that God has nothing to do with what happens to him personally.",183
Male,1984,June,Non-Black Non-Hispanic,Asian or Pacific Islander,145.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",0,2,No,No,No,No,No,Yes,Never,Yes,No,Yes,5,No,No,No,No,The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 5 times but has not been convicted.,"The person is an 18-year-old male who identifies himself as Asian / Pacific Islander. He has been arrested 5 times but has not been convicted. He is 5 feet 9 inches and weighs 145 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological dad in a household of size 2, in an urban area. He considers that God has nothing to do with what happens to him personally.",175
Male,1980,March,Non-Black Non-Hispanic,White,180.0,Never married not cohabiting,HS Diploma,Enrolled in 4yr college,2,5,No,No,No,No,No,Yes,Never,Yes,No,Yes,1,No,Yes,No,No,The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted.,"The person is a 22-year-old male who identifies himself as White. He has been arrested 1 time and has been convicted. He is 5 feet 10 inches and weighs 180 lbs. He has never been married and is currently living alone. He has a high school diploma and is enrolled in a 4-year college. He has held 2 jobs during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has nothing to do with what happens to him personally.",178
Male,1982,August,Non-Black Non-Hispanic,White,212.0,Never married not cohabiting,HS Diploma,"Not enrolled, some college",1,4,No,No,No,No,Yes,No,Sometimes,Yes,Yes,Yes,1,Yes,No,Yes,Yes,The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted.,"The person is a 20-year-old male who identifies himself as White. He has been arrested 1 time but has not been convicted. He is 5 feet 11 inches and weighs between 200 and 224 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with both of his biological parents in a household of size 4, in an urban area. He considers that God has something to do with what happens to him personally.",180
Male,1981,February,Hispanic,Hispanic or Latino,179.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",0,5,No,No,No,No,Yes,No,Sometimes,No,No,No,2,No,Yes,No,No,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 2 times and has been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 2 times and has been convicted. He is 5 feet 11 inches and weighs 179 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held no jobs during the year. He has not used any drugs in the past four years and some of the time during the past month he has felt so down in the dumps that nothing could cheer him up. At a young age, he lived with his biological mother in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",180
Male,1983,February,Hispanic,White,195.0,Never married cohabiting,HS Diploma,"Not enrolled, HS graduate",3,2,No,No,No,No,Yes,No,Never,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes,The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted.,"The person is a 19-year-old male who identifies himself as Hispanic. He has been arrested 6 times and has been convicted. He is 5 feet 4 inches and weighs 195 lbs. He has never been married and is currently not living alone. He has a high school diploma and is not enrolled in college. He has held 3 jobs during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 2. He considers that God has something to do with what happens to him personally.",163
Female,1983,September,Hispanic,White,145.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",0,5,No,No,No,No,Yes,No,Usually,No,No,No,3,No,No,No,No,The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 3 times but has not been convicted.,"The person is a 19-year-old female who identifies herself as Hispanic. She has been arrested 3 times but has not been convicted. She is 5 feet 0 inches and weighs 145 lbs. She has never been married and is currently living alone. She has a high school diploma and is not enrolled in college. She has held no jobs during the year. She has not used any drugs in the past four years and most of the time during the past month she has felt so down in the dumps that nothing could cheer her up. At a young age, she lived with both of her biological parents in a household of size 5, in an urban area. She considers that God has something to do with what happens to her personally.",152
Male,1981,October,Hispanic,Hispanic or Latino,178.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",1,4,No,No,No,No,Yes,No,Never,Yes,No,Yes,1,Yes,No,Yes,Yes,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 8 inches and weighs 178 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana) and has not felt depressed over the past month. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally.",173
Male,1981,August,Hispanic,White,138.0,Never married not cohabiting,GED,"Not enrolled, GED",1,4,No,No,No,No,Yes,No,Never,Yes,Yes,Yes,1,No,No,No,No,The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted.,"The person is a 21-year-old male who identifies himself as Hispanic. He has been arrested 1 time but has not been convicted. He is 5 feet 6 inches and weighs 138 lbs. He has never been married and is currently living alone. He has a GED certificate and is not enrolled in college. He has held 1 job during the year. He has used drugs in the past four years (marijuana and cocaine) and has not felt depressed over the past month. At a young age, he lived in a household of size 4. He considers that God has something to do with what happens to him personally.",168
Male,1982,April,Hispanic,Hispanic or Latino,195.0,Never married not cohabiting,HS Diploma,"Not enrolled, HS graduate",2,5,No,Yes,No,No,Yes,No,Never,No,Yes,Yes,1,No,Yes,No,No,The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted.,"The person is a 20-year-old male who identifies himself as Hispanic. He has been arrested 1 time and has been convicted. He is 5 feet 9 inches and weighs 195 lbs. He has never been married and is currently living alone. He has a high school diploma and is not enrolled in college. He has held 2 jobs during the year. He has used drugs in the past four years (cocaine) and has not felt depressed over the past month. At a young age, he lived with both of his biological parents in a household of size 5, in an urban area. He considers that God has something to do with what happens to him personally.",175
